"Status","Year","Region_ITL1","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","South East (England)","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Department for Work and Pensions (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Department for Work and Pensions (excl. agencies)","Operational Delivery","640","560","27250","27570"
"Leaver CS","2022","South East (England)","Department for Work and Pensions (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Department for Work and Pensions (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Department for Work and Pensions (excl. agencies)","Unknown","80","70","27110","27570"
"Leaver CS","2022","South East (England)","Department of Health and Social Care (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Driver and Vehicle Standards Agency","Operational Delivery","50","50","28160","26780"
"Leaver CS","2022","South East (England)","FCDO Services","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","FCDO Services","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","FCDO Services","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","FCDO Services","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","FCDO Services","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","FCDO Services","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","FCDO Services","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","FCDO Services","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","FCDO Services","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","FCDO Services","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","FCDO Services","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Food Standards Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Food Standards Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Government Internal Audit Agency","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Health and Safety Executive","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","HM Courts and Tribunals Service","Operational Delivery","200","180","23620","20970"
"Leaver CS","2022","South East (England)","HM Prison and Probation Service","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","HM Prison and Probation Service","Operational Delivery","1180","1110","[c]","[c]"
"Leaver CS","2022","South East (England)","HM Prison and Probation Service","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","HM Prison and Probation Service","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","HM Prison and Probation Service","Unknown","90","80","[c]","[c]"
"Leaver CS","2022","South East (England)","HM Revenue and Customs (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","HM Revenue and Customs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","HM Revenue and Customs (excl. agencies)","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","HM Revenue and Customs (excl. agencies)","Unknown","170","140","[c]","[c]"
"Leaver CS","2022","South East (England)","Home Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Home Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Home Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Home Office","Operational Delivery","160","130","28640","27240"
"Leaver CS","2022","South East (England)","Home Office","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Home Office","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Maritime and Coastguard Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Maritime and Coastguard Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Maritime and Coastguard Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Maritime and Coastguard Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Maritime and Coastguard Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Maritime and Coastguard Agency","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Maritime and Coastguard Agency","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Maritime and Coastguard Agency","Operational Delivery","50","50","30660","26590"
"Leaver CS","2022","South East (England)","Maritime and Coastguard Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Maritime and Coastguard Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Met Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Met Office","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Ministry of Defence (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Ministry of Defence (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Ministry of Defence (excl. agencies)","Digital, Data and Technology","30","30","[c]","[c]"
"Leaver CS","2022","South East (England)","Ministry of Defence (excl. agencies)","Finance","80","70","32160","33000"
"Leaver CS","2022","South East (England)","Ministry of Defence (excl. agencies)","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Ministry of Defence (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Ministry of Defence (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Ministry of Defence (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Ministry of Defence (excl. agencies)","Medicine","50","40","[c]","[c]"
"Leaver CS","2022","South East (England)","Ministry of Defence (excl. agencies)","Other","350","340","24580","21170"
"Leaver CS","2022","South East (England)","Ministry of Defence (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Ministry of Defence (excl. agencies)","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2022","South East (England)","Ministry of Defence (excl. agencies)","Property","40","40","[c]","[c]"
"Leaver CS","2022","South East (England)","Ministry of Defence (excl. agencies)","Science and Engineering","40","40","[c]","[c]"
"Leaver CS","2022","South East (England)","Ministry of Defence (excl. agencies)","Security","160","150","30720","26750"
"Leaver CS","2022","South East (England)","Ministry of Defence (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Ministry of Justice (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","National Crime Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Planning Inspectorate","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Planning Inspectorate","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Public Health England","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Public Health England","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Public Health England","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Public Health England","Science and Engineering","30","30","[c]","[c]"
"Leaver CS","2022","South East (England)","Rural Payments Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Rural Payments Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","The Insolvency Service","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Health Security Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Health Security Agency","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Health Security Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Health Security Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Hydrographic Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Space Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Statistics Authority","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Statistics Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Statistics Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Statistics Authority","Operational Delivery","250","170","22800","19860"
"Leaver CS","2022","South East (England)","UK Statistics Authority","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Statistics Authority","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Statistics Authority","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Statistics Authority","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Statistics Authority","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Valuation Office Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Valuation Office Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Veterinary Medicines Directorate","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Veterinary Medicines Directorate","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Veterinary Medicines Directorate","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Veterinary Medicines Directorate","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Veterinary Medicines Directorate","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Veterinary Medicines Directorate","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Wilton Park","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Wilton Park","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Wilton Park","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Advisory, Conciliation and Arbitration Service","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Animal and Plant Health Agency","Operational Delivery","30","30","[c]","[c]"
"Leaver CS","2022","South West (England)","Animal and Plant Health Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Animal and Plant Health Agency","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Crown Commercial Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Crown Commercial Service","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Crown Prosecution Service","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Crown Prosecution Service","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Defence Equipment and Support","Commercial","50","50","[c]","[c]"
"Leaver CS","2022","South West (England)","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Defence Equipment and Support","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Defence Equipment and Support","Finance","30","30","[c]","[c]"
"Leaver CS","2022","South West (England)","Defence Equipment and Support","Human Resources","[c]","[c]","[c]","[c]"
