"Status","Year","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Operational Delivery","The National Archives","170","160","29320","28040"
"In post","2021","Operational Delivery","UK Export Finance","240","240","53470","47150"
"In post","2021","Operational Delivery","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","United Kingdom Statistics Authority","3000","2500","26570","23050"
"In post","2021","Operational Delivery","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Welsh Government","1640","1530","36810","28850"
"In post","2021","Operational Research","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Transport","70","70","35620","33350"
"In post","2021","Operational Research","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Foreign, Commonwealth and Development Office","70","60","58060","58370"
"In post","2021","Operational Research","HM Revenue and Customs","140","140","43550","38630"
"In post","2021","Operational Research","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Home Office","90","80","46070","39900"
"In post","2021","Operational Research","Ministry of Defence","580","550","42930","46080"
"In post","2021","Operational Research","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Ministry of Justice","100","100","47440","41930"
"In post","2021","Operational Research","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Other","Attorney General's Departments","440","420","32660","27580"
"In post","2021","Other","Cabinet Office","40","40","[c]","[c]"
"In post","2021","Other","Chancellor's other departments","280","260","63610","54100"
"In post","2021","Other","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Other","Department for Digital, Culture, Media and Sport","90","90","40850","34330"
"In post","2021","Other","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","Other","Department for International Trade","180","180","39470","32120"
"In post","2021","Other","Department for Transport","530","500","42000","32740"
"In post","2021","Other","Department of Health and Social Care","300","290","49660","43760"
"In post","2021","Other","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Other","Foreign, Commonwealth and Development Office","290","290","64730","66680"
"In post","2021","Other","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Other","HM Revenue and Customs","480","440","41690","38630"
"In post","2021","Other","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Other","Home Office","1790","1680","34890","30830"
"In post","2021","Other","Ministry of Defence","15840","15300","28190","24180"
"In post","2021","Other","Ministry of Justice","70","70","35640","33520"
"In post","2021","Other","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","Office for Standards in Education","250","240","28530","25880"
"In post","2021","Other","Office of Gas and Electricity Markets","530","520","44220","37490"
"In post","2021","Other","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","Other","Scottish Government","670","610","31640","28870"
"In post","2021","Other","The National Archives","80","80","43040","35000"
"In post","2021","Other","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Other","Welsh Government","620","580","42660","37410"
"In post","2021","Planning","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Ministry of Housing, Communities and Local Government","130","120","47040","40940"
"In post","2021","Planning","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Ministry of Housing, Communities and Local Government","340","300","57920","58810"
"In post","2021","Policy","Attorney General's Departments","90","80","50250","54760"
"In post","2021","Policy","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Department for Business, Energy and Industrial Strategy","4050","3960","49350","53380"
"In post","2021","Policy","Department for Digital, Culture, Media and Sport","1080","1060","48480","51730"
"In post","2021","Policy","Department for Education","3030","2900","46020","41230"
"In post","2021","Policy","Department for Environment, Food and Rural Affairs","2490","2410","43050","38750"
"In post","2021","Policy","Department for International Trade","220","220","45630","39000"
"In post","2021","Policy","Department for Transport","1360","1320","44500","42470"
"In post","2021","Policy","Department for Work and Pensions","80","80","47780","43780"
"In post","2021","Policy","Department of Health and Social Care","1840","1790","47320","41990"
"In post","2021","Policy","Food Standards Agency","190","180","42590","38120"
"In post","2021","Policy","Foreign, Commonwealth and Development Office","4070","4020","50620","51960"
"In post","2021","Policy","HM Revenue and Customs","1130","1070","52560","52580"
"In post","2021","Policy","HM Treasury","1410","1380","49620","52500"
"In post","2021","Policy","Home Office","2120","2060","49990","45350"
"In post","2021","Policy","Ministry of Defence","1150","1120","43980","41500"
"In post","2021","Policy","Ministry of Housing, Communities and Local Government","1270","1240","48490","48810"
"In post","2021","Policy","Ministry of Justice","1320","1280","40750","36800"
"In post","2021","Policy","Northern Ireland Office","90","90","46600","41000"
"In post","2021","Policy","Office for Standards in Education","70","60","51530","42850"
"In post","2021","Policy","Office of Gas and Electricity Markets","80","80","37850","34240"
"In post","2021","Policy","Office of Qualifications and Examinations Regulation","40","30","[c]","[c]"
"In post","2021","Policy","Office of Rail and Road","70","60","57300","55500"
"In post","2021","Policy","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Scottish Government","50","40","[c]","[c]"
"In post","2021","Policy","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Policy","United Kingdom Statistics Authority","60","50","37220","36030"
"In post","2021","Policy","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Water Services Regulation Authority","60","50","62140","60800"
"In post","2021","Policy","Welsh Government","1600","1530","43130","37410"
"In post","2021","Project Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Competition and Markets Authority","380","360","60680","56360"
"In post","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","410","400","43510","40050"
"In post","2021","Project Delivery","Department for Digital, Culture, Media and Sport","210","210","48690","51730"
"In post","2021","Project Delivery","Department for Education","60","60","46370","49860"
"In post","2021","Project Delivery","Department for Environment, Food and Rural Affairs","410","390","40140","36520"
"In post","2021","Project Delivery","Department for International Trade","70","70","45830","41500"
"In post","2021","Project Delivery","Department for Transport","650","630","49430","43360"
"In post","2021","Project Delivery","Department for Work and Pensions","50","40","[c]","[c]"
"In post","2021","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Foreign, Commonwealth and Development Office","450","440","41880","38600"
"In post","2021","Project Delivery","HM Land Registry","140","140","40870","38550"
"In post","2021","Project Delivery","HM Revenue and Customs","2570","2460","42830","38630"
"In post","2021","Project Delivery","HM Treasury","30","30","[c]","[c]"
"In post","2021","Project Delivery","Home Office","1330","1300","45140","41950"
"In post","2021","Project Delivery","Ministry of Defence","7880","7670","40170","38540"
"In post","2021","Project Delivery","Ministry of Housing, Communities and Local Government","120","120","45370","40720"
"In post","2021","Project Delivery","Ministry of Justice","560","550","41760","36800"
"In post","2021","Project Delivery","National Crime Agency","90","90","46620","45480"
"In post","2021","Project Delivery","Office for Standards in Education","30","30","[c]","[c]"
"In post","2021","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Other Cabinet Office Agencies","60","60","49680","49700"
"In post","2021","Project Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","United Kingdom Statistics Authority","230","220","40440","36030"
