"Status","Year","Profession_of_post","Region_ITL1","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Economics","North West (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Overseas","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Overseas","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Overseas","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South East (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South East (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South East (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South East (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South West (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South West (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South West (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South West (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Wales","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Wales","20-29","80","80","29280","29540"
"In post","2021","Economics","Wales","30-39","40","40","[c]","[c]"
"In post","2021","Economics","Wales","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Wales","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Wales","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Wales","65+","[c]","[c]","[c]","[c]"
"In post","2021","Economics","West Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Economics","West Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Economics","West Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Economics","West Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Yorkshire and The Humber","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Yorkshire and The Humber","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Yorkshire and The Humber","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East Midlands (England)","30-39","40","40","[c]","[c]"
"In post","2021","Finance","East Midlands (England)","40-49","60","60","38880","36040"
"In post","2021","Finance","East Midlands (England)","50-59","70","70","38170","33630"
"In post","2021","Finance","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East Midlands (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East of England","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East of England","20-29","40","40","[c]","[c]"
"In post","2021","Finance","East of England","30-39","60","60","35990","33300"
"In post","2021","Finance","East of England","40-49","90","80","40680","36970"
"In post","2021","Finance","East of England","50-59","160","150","38060","35010"
"In post","2021","Finance","East of England","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East of England","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","London","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","London","20-29","410","400","39600","36120"
"In post","2021","Finance","London","30-39","570","560","51270","53420"
"In post","2021","Finance","London","40-49","700","680","52940","50420"
"In post","2021","Finance","London","50-59","670","660","50790","45200"
"In post","2021","Finance","London","60-64","150","140","46760","41760"
"In post","2021","Finance","London","65+","60","60","39160","36570"
"In post","2021","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","North East (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","North East (England)","30-39","90","90","37630","36690"
"In post","2021","Finance","North East (England)","40-49","140","130","40100","38630"
"In post","2021","Finance","North East (England)","50-59","110","100","40630","36980"
"In post","2021","Finance","North East (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","North West (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","North West (England)","20-29","60","60","31450","29730"
"In post","2021","Finance","North West (England)","30-39","150","140","39320","37450"
"In post","2021","Finance","North West (England)","40-49","180","170","38330","33300"
"In post","2021","Finance","North West (England)","50-59","220","210","39660","37040"
"In post","2021","Finance","North West (England)","60-64","40","30","[c]","[c]"
"In post","2021","Finance","North West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scotland","20-29","100","90","24470","20140"
"In post","2021","Finance","Scotland","30-39","110","110","31160","26120"
"In post","2021","Finance","Scotland","40-49","130","110","30350","25720"
"In post","2021","Finance","Scotland","50-59","280","230","28070","21440"
"In post","2021","Finance","Scotland","60-64","60","50","25780","21440"
"In post","2021","Finance","Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","South East (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","South East (England)","20-29","80","80","29770","28130"
"In post","2021","Finance","South East (England)","30-39","150","150","36230","33300"
"In post","2021","Finance","South East (England)","40-49","220","210","38570","33300"
"In post","2021","Finance","South East (England)","50-59","340","330","38450","34610"
"In post","2021","Finance","South East (England)","60-64","80","70","38420","33460"
"In post","2021","Finance","South East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","South West (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","South West (England)","20-29","240","240","28080","26350"
"In post","2021","Finance","South West (England)","30-39","300","280","39280","39050"
"In post","2021","Finance","South West (England)","40-49","330","320","44030","40620"
"In post","2021","Finance","South West (England)","50-59","330","320","45240","41650"
"In post","2021","Finance","South West (England)","60-64","70","60","42170","39630"
"In post","2021","Finance","South West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Wales","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Wales","20-29","60","60","28310","26350"
"In post","2021","Finance","Wales","30-39","160","150","35710","32020"
"In post","2021","Finance","Wales","40-49","200","190","40410","37410"
"In post","2021","Finance","Wales","50-59","200","190","42160","37410"
"In post","2021","Finance","Wales","60-64","60","50","32210","28850"
"In post","2021","Finance","Wales","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","West Midlands (England)","20-29","70","70","29790","26780"
"In post","2021","Finance","West Midlands (England)","30-39","110","100","38800","36780"
"In post","2021","Finance","West Midlands (England)","40-49","180","170","43980","39770"
"In post","2021","Finance","West Midlands (England)","50-59","130","120","42350","40040"
"In post","2021","Finance","West Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Yorkshire and The Humber","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Yorkshire and The Humber","20-29","90","90","31380","28970"
"In post","2021","Finance","Yorkshire and The Humber","30-39","150","150","37290","36650"
"In post","2021","Finance","Yorkshire and The Humber","40-49","210","200","38330","36820"
"In post","2021","Finance","Yorkshire and The Humber","50-59","260","240","34290","28690"
"In post","2021","Finance","Yorkshire and The Humber","60-64","60","50","28450","21440"
"In post","2021","Finance","Yorkshire and The Humber","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","East Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","East Midlands (England)","20-29","40","40","[c]","[c]"
"In post","2021","Human Resources","East Midlands (England)","30-39","70","70","36840","31970"
"In post","2021","Human Resources","East Midlands (England)","40-49","130","120","39170","33950"
"In post","2021","Human Resources","East Midlands (England)","50-59","110","110","39320","38630"
"In post","2021","Human Resources","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","East Midlands (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","East of England","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","East of England","30-39","40","40","[c]","[c]"
"In post","2021","Human Resources","East of England","40-49","40","30","[c]","[c]"
"In post","2021","Human Resources","East of England","50-59","80","70","36390","33490"
"In post","2021","Human Resources","East of England","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","East of England","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","London","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","London","20-29","450","440","36330","32730"
"In post","2021","Human Resources","London","30-39","520","510","46400","42190"
"In post","2021","Human Resources","London","40-49","620","600","50890","46070"
"In post","2021","Human Resources","London","50-59","670","660","50410","45960"
"In post","2021","Human Resources","London","60-64","110","100","48600","44770"
"In post","2021","Human Resources","London","65+","40","30","[c]","[c]"
"In post","2021","Human Resources","North East (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","North East (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","North East (England)","40-49","40","30","[c]","[c]"
"In post","2021","Human Resources","North East (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","North East (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","North East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","North West (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","North West (England)","20-29","140","140","26670","25560"
"In post","2021","Human Resources","North West (England)","30-39","240","220","32480","30130"
"In post","2021","Human Resources","North West (England)","40-49","270","250","37130","32360"
"In post","2021","Human Resources","North West (England)","50-59","330","310","35280","31810"
"In post","2021","Human Resources","North West (England)","60-64","50","30","[c]","[c]"
"In post","2021","Human Resources","North West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Northern Ireland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Northern Ireland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scotland","20-29","60","60","25730","24220"
"In post","2021","Human Resources","Scotland","30-39","160","150","29160","26670"
"In post","2021","Human Resources","Scotland","40-49","200","190","30940","26670"
