"Status","Year","Organisation","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","ESTYN","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","ESTYN","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","FCDO Services","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","FCDO Services","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","FCDO Services","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Scotland","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Scotland","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign and Commonwealth Office (excl. agencies)","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign and Commonwealth Office (excl. agencies)","Declared non-disabled","Unknown","40","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign and Commonwealth Office (excl. agencies)","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign and Commonwealth Office (excl. agencies)","Unknown","Unknown","40","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","Unknown","90","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Unknown","50","[c]","[c]","[c]"
"Leaver Dept.","2021","Forestry and Land Scotland","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Forestry and Land Scotland","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Forestry and Land Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Actuary's Department","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Actuary's Department","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Actuary's Department","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
