"Status","Year","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Herefordshire, County of","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, County of","Undeclared","30","30","[c]","[c]"
"In post","2021","Herefordshire, County of","Unknown","80","80","26790","24610"
"In post","2021","Hertfordshire","Heterosexual / straight","1900","1790","34800","30880"
"In post","2021","Hertfordshire","LGBO","100","90","33500","30750"
"In post","2021","Hertfordshire","Undeclared","230","220","34900","31810"
"In post","2021","Hertfordshire","Unknown","500","460","34900","31810"
"In post","2021","Hounslow and Richmond upon Thames","Heterosexual / straight","1870","1770","32390","31060"
"In post","2021","Hounslow and Richmond upon Thames","LGBO","120","120","32810","31460"
"In post","2021","Hounslow and Richmond upon Thames","Undeclared","290","270","33080","31060"
"In post","2021","Hounslow and Richmond upon Thames","Unknown","580","550","33100","31060"
"In post","2021","Inverclyde, East Renfrewshire and Renfrewshire","Heterosexual / straight","620","560","30500","27570"
"In post","2021","Inverclyde, East Renfrewshire and Renfrewshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inverclyde, East Renfrewshire and Renfrewshire","Undeclared","180","160","28140","26120"
"In post","2021","Inverclyde, East Renfrewshire and Renfrewshire","Unknown","230","200","28420","27570"
"In post","2021","Inverness and Nairn and Moray, Badenoch and Strathspey","Heterosexual / straight","680","640","28580","27570"
"In post","2021","Inverness and Nairn and Moray, Badenoch and Strathspey","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inverness and Nairn and Moray, Badenoch and Strathspey","Undeclared","130","120","28890","27570"
"In post","2021","Inverness and Nairn and Moray, Badenoch and Strathspey","Unknown","310","290","30370","28120"
"In post","2021","Isle of Anglesey","Heterosexual / straight","180","170","27470","26670"
"In post","2021","Isle of Anglesey","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Isle of Anglesey","Undeclared","40","40","[c]","[c]"
"In post","2021","Isle of Anglesey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Isle of Wight","Heterosexual / straight","630","580","27190","26290"
"In post","2021","Isle of Wight","LGBO","50","50","[c]","[c]"
"In post","2021","Isle of Wight","Undeclared","80","70","27300","27380"
"In post","2021","Isle of Wight","Unknown","140","130","29300","30310"
"In post","2021","Kensington & Chelsea and Hammersmith & Fulham","Heterosexual / straight","560","540","32620","31060"
"In post","2021","Kensington & Chelsea and Hammersmith & Fulham","LGBO","40","30","[c]","[c]"
"In post","2021","Kensington & Chelsea and Hammersmith & Fulham","Undeclared","60","50","34190","31880"
"In post","2021","Kensington & Chelsea and Hammersmith & Fulham","Unknown","210","190","32000","31060"
"In post","2021","Kent Thames Gateway","Heterosexual / straight","1070","1020","30340","30400"
"In post","2021","Kent Thames Gateway","LGBO","70","60","31240","30610"
"In post","2021","Kent Thames Gateway","Undeclared","110","100","31590","31000"
"In post","2021","Kent Thames Gateway","Unknown","370","340","29000","29420"
"In post","2021","Kingston upon Hull, City of","Heterosexual / straight","1340","1200","28090","27130"
"In post","2021","Kingston upon Hull, City of","LGBO","80","80","27040","26300"
"In post","2021","Kingston upon Hull, City of","Undeclared","200","180","29180","27570"
"In post","2021","Kingston upon Hull, City of","Unknown","380","340","27190","27130"
"In post","2021","Lambeth","Heterosexual / straight","3000","2840","43460","39840"
"In post","2021","Lambeth","LGBO","220","220","40890","36200"
"In post","2021","Lambeth","Undeclared","420","380","42570","37480"
"In post","2021","Lambeth","Unknown","740","700","45860","40010"
"In post","2021","Lancaster and Wyre","Heterosexual / straight","770","710","28810","26670"
"In post","2021","Lancaster and Wyre","LGBO","40","40","[c]","[c]"
"In post","2021","Lancaster and Wyre","Undeclared","70","60","30630","26930"
"In post","2021","Lancaster and Wyre","Unknown","180","160","26910","27570"
"In post","2021","Leeds","Heterosexual / straight","7030","6590","33560","29730"
