"Status","Year","Disability","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Declared disabled","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Geography","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Geography","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Inspector of Education and Training","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Inspector of Education and Training","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Intelligence Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Intelligence Analysis","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Intelligence Analysis","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Intelligence Analysis","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Intelligence Analysis","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Legal","Charity Commission","[c]","[c]","[c]","[c]"
