"Status","Year","Organisation","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Department for Education (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education (excl. agencies)","Unknown","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Analysis","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","G6/G7","50","50","50990","49320"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","SEO/HEO","70","70","33520","34230"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","SEO/HEO","40","30","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","EO","130","130","23760","24920"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","G6/G7","110","110","54240","52290"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","SEO/HEO","390","390","33100","32560"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Analysis","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Analysis","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Communications","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Communications","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Communications","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Finance","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Human Resources","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Legal","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","No function","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","No function","EO","50","50","[c]","[c]"
"New entrant CS","2021","Department for International Trade","No function","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","No function","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","No function","SEO/HEO","120","120","33250","31800"
"New entrant CS","2021","Department for International Trade","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Security","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Analysis","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Analysis","SEO/HEO","70","70","34340","34710"
"New entrant CS","2021","Department for Transport (excl. agencies)","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Communications","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Communications","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Finance","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Finance","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Human Resources","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","No function","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","No function","EO","90","90","27310","29970"
"New entrant CS","2021","Department for Transport (excl. agencies)","No function","G6/G7","50","50","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","No function","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","No function","SEO/HEO","150","150","35110","34710"
"New entrant CS","2021","Department for Transport (excl. agencies)","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Project Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Project Delivery","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Property","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Work and Pensions (excl. agencies)","Unknown","AA/AO","5530","5470","21610","21010"
"New entrant CS","2021","Department for Work and Pensions (excl. agencies)","Unknown","EO","10880","10630","28590","27570"
"New entrant CS","2021","Department for Work and Pensions (excl. agencies)","Unknown","G6/G7","170","170","58160","56140"
"New entrant CS","2021","Department for Work and Pensions (excl. agencies)","Unknown","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Work and Pensions (excl. agencies)","Unknown","SEO/HEO","390","390","35180","35310"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Analysis","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Analysis","G6/G7","50","50","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Commercial","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Commercial","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Commercial","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Communications","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Communications","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Communications","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Digital, Data & Technology","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Finance","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Finance","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Finance","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Finance","SEO/HEO","100","100","34540","32790"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Human Resources","EO","30","30","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","No function","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","No function","EO","110","110","26750","27270"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","No function","G6/G7","140","130","56090","53360"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","No function","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","No function","SEO/HEO","360","350","33770","32790"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Property","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Unknown","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Disclosure Scotland","Unknown","AA/AO","30","30","[c]","[c]"
"New entrant CS","2021","Disclosure Scotland","Unknown","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Disclosure Scotland","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Disclosure Scotland","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Analysis","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Commercial","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Communications","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Finance","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Human Resources","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","No function","AA/AO","230","200","19690","18060"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","No function","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","No function","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Property","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Property","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Security","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Commercial","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Communications","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","No function","AA/AO","120","120","24000","21590"
"New entrant CS","2021","Driver and Vehicle Standards Agency","No function","EO","60","60","26900","26130"
"New entrant CS","2021","Driver and Vehicle Standards Agency","No function","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Project Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Security","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Finance","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","No function","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","No function","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","No function","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","No function","SEO/HEO","30","30","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Project Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Unknown","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education Scotland","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education Scotland","Unknown","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education Scotland","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education Scotland","Unknown","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education Scotland","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","ESTYN","No function","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","ESTYN","No function","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","No function","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","No function","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","No function","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","No function","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","No function","SEO/HEO","50","50","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Scotland","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Scotland","Unknown","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Scotland","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Scotland","Unknown","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Scotland","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","Communications","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","Communications","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","Finance","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","Human Resources","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","Project Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
