"Status","Year","Organisation","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Companies House","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","65+","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Economics","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Project Delivery","60","60","35910","33610"
"In post","2021","Competition and Markets Authority","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","Economics","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","Legal","60","60","67620","71370"
"In post","2021","Competition and Markets Authority","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","Project Delivery","120","120","58370","55930"
"In post","2021","Competition and Markets Authority","30-39","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Legal","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Project Delivery","100","100","71760","74480"
"In post","2021","Competition and Markets Authority","40-49","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Project Delivery","90","80","69100","60850"
"In post","2021","Competition and Markets Authority","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","65+","Property","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","20-29","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","30-39","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","30-39","Operational Delivery","80","70","24860","22570"
"In post","2021","Criminal Injuries Compensation Authority","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","40-49","Operational Delivery","80","70","25960","22640"
"In post","2021","Criminal Injuries Compensation Authority","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","50-59","Operational Delivery","90","80","27040","23110"
"In post","2021","Criminal Injuries Compensation Authority","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","20-29","Commercial","70","70","28230","27770"
"In post","2021","Crown Commercial Service","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","20-29","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Crown Commercial Service","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","30-39","Commercial","110","110","32990","34800"
"In post","2021","Crown Commercial Service","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","30-39","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","30-39","Operational Delivery","50","50","38300","34800"
"In post","2021","Crown Commercial Service","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","40-49","Commercial","90","80","36690","35290"
"In post","2021","Crown Commercial Service","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","40-49","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Crown Commercial Service","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","40-49","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","50-59","Commercial","90","90","36250","34800"
"In post","2021","Crown Commercial Service","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","50-59","Operational Delivery","50","50","[c]","[c]"
"In post","2021","Crown Commercial Service","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","20-29","Legal","80","80","36990","37940"
"In post","2021","Crown Office and Procurator Fiscal Service","20-29","Operational Delivery","300","280","23240","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","30-39","Legal","200","190","50770","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","30-39","Operational Delivery","270","260","26530","25410"
"In post","2021","Crown Office and Procurator Fiscal Service","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
