"Status","Year","Profession_of_post","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Finance","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government","Finance","130","130","49980","48620"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government","No function","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice","Commercial","60","60","31560","28350"
"In post","2021","Finance","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice","Finance","620","610","43990","40910"
"In post","2021","Finance","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice","No function","50","50","29870","24440"
"In post","2021","Finance","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Crime Agency","Finance","50","40","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education","Finance","40","30","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other Cabinet Office Agencies","Finance","60","60","44300","39000"
"In post","2021","Finance","Scottish Government","Finance","140","130","33910","30080"
"In post","2021","Finance","The National Archives","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","The National Archives","No function","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Export Finance","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Export Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Supreme Court","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","Finance","60","60","37140","29840"
"In post","2021","Finance","Water Services Regulation Authority","No function","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Welsh Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Welsh Government","Unknown","330","310","41910","37410"
"In post","2021","Human Resources","Attorney General's Departments","Human Resources","220","210","39830","33930"
"In post","2021","Human Resources","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chancellor's other departments","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Competition and Markets Authority","Human Resources","40","40","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Human Resources","380","360","39780","36580"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Digital, Culture, Media and Sport","Human Resources","60","60","48880","37990"
"In post","2021","Human Resources","Department for Education","Human Resources","150","140","36260","30200"
"In post","2021","Human Resources","Department for Education","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs","Human Resources","270","250","42740","38600"
"In post","2021","Human Resources","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for International Trade","Human Resources","130","120","43310","38540"
"In post","2021","Human Resources","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Transport","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Transport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Transport","Human Resources","390","370","36770","32810"
"In post","2021","Human Resources","Department for Transport","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Work and Pensions","Human Resources","40","40","[c]","[c]"
"In post","2021","Human Resources","Department of Health and Social Care","Human Resources","290","280","42950","36820"
"In post","2021","Human Resources","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","Human Resources","30","30","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office","Human Resources","250","240","44920","39580"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","Human Resources","90","80","40290","33840"
"In post","2021","Human Resources","HM Revenue and Customs","Human Resources","750","700","40920","38300"
"In post","2021","Human Resources","HM Treasury","Human Resources","90","90","44420","43630"
"In post","2021","Human Resources","HM Treasury","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Home Office","Unknown","570","540","42930","37450"
"In post","2021","Human Resources","Ministry of Defence","Human Resources","1970","1850","31800","26670"
"In post","2021","Human Resources","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Housing, Communities and Local Government","Human Resources","90","80","40860","36340"
"In post","2021","Human Resources","Ministry of Justice","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice","Human Resources","870","840","42140","37990"
"In post","2021","Human Resources","Ministry of Justice","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","National Crime Agency","Human Resources","190","180","40160","39240"
"In post","2021","Human Resources","Northern Ireland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office for Standards in Education","Human Resources","60","50","39210","32010"
"In post","2021","Human Resources","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other Cabinet Office Agencies","Human Resources","50","40","[c]","[c]"
"In post","2021","Human Resources","Scotland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scottish Government","Human Resources","210","200","34930","33650"
"In post","2021","Human Resources","The National Archives","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Export Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Supreme Court","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","United Kingdom Statistics Authority","Human Resources","160","150","37410","32430"
"In post","2021","Human Resources","Wales Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Welsh Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Welsh Government","Unknown","200","180","35490","28850"
"In post","2021","Inspector of Education and Training","ESTYN","No function","60","60","74480","74730"
"In post","2021","Inspector of Education and Training","Office for Standards in Education","No function","800","780","65820","64500"
"In post","2021","Intelligence Analysis","Cabinet Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Charity Commission","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Charity Commission","No function","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Competition and Markets Authority","Analysis","30","30","[c]","[c]"
"In post","2021","Intelligence Analysis","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Department for Digital, Culture, Media and Sport","No function","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Department for Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
