"Status","Year","Responsibility_level","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","AA/AO","Male","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Department for Work and Pensions (excl. agencies)","770","720","21300","21010"
"Leaver CS","2021","AA/AO","Male","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Driver and Vehicle Licensing Agency","100","80","20330","21590"
"Leaver CS","2021","AA/AO","Male","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","HM Courts and Tribunals Service","380","340","19770","19930"
"Leaver CS","2021","AA/AO","Male","HM Land Registry","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","HM Prison and Probation Service","1700","1590","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","HM Revenue and Customs (excl. agencies)","800","720","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Home Office (incl. agencies)","180","150","21430","21430"
"Leaver CS","2021","AA/AO","Male","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Ministry of Defence (excl. agencies)","550","530","23880","20720"
"Leaver CS","2021","AA/AO","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Public Health England","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Scottish Courts and Tribunals Service","30","30","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Scottish Prison Service","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","United Kingdom Statistics Authority","90","70","19520","19130"
"Leaver CS","2021","AA/AO","Male","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Defence Equipment and Support","50","50","21010","20140"
"Leaver CS","2021","EO","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Department for Education (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2021","EO","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2021","EO","Female","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Department for Work and Pensions (excl. agencies)","1190","960","28040","27570"
"Leaver CS","2021","EO","Female","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"Leaver CS","2021","EO","Female","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","HM Courts and Tribunals Service","100","90","24330","24340"
"Leaver CS","2021","EO","Female","HM Land Registry","60","40","27320","27130"
"Leaver CS","2021","EO","Female","HM Prison and Probation Service","130","120","[c]","[c]"
"Leaver CS","2021","EO","Female","HM Revenue and Customs (excl. agencies)","740","580","[c]","[c]"
"Leaver CS","2021","EO","Female","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Home Office (incl. agencies)","230","200","26900","27240"
"Leaver CS","2021","EO","Female","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Ministry of Defence (excl. agencies)","170","150","27370","26930"
"Leaver CS","2021","EO","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Public Health England","70","70","25790","25260"
"Leaver CS","2021","EO","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Valuation Office Agency","40","30","[c]","[c]"
"Leaver CS","2021","EO","Female","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Defence Equipment and Support","110","100","20860","20230"
"Leaver CS","2021","EO","Male","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
