"Status","Year","Sexual_orientation","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","G6/G7","Social Security Scotland","100","100","59700","61010"
"In post","2021","Heterosexual / straight","G6/G7","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","The National Archives","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Transport Scotland","100","100","63810","64010"
"In post","2021","Heterosexual / straight","G6/G7","UK Export Finance","100","90","66770","65330"
"In post","2021","Heterosexual / straight","G6/G7","UK Hydrographic Office","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","UK Intellectual Property Office","200","190","60150","59720"
"In post","2021","Heterosexual / straight","G6/G7","UK Space Agency","60","60","56770","54370"
"In post","2021","Heterosexual / straight","G6/G7","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","United Kingdom Statistics Authority","640","610","52630","50090"
"In post","2021","Heterosexual / straight","G6/G7","Valuation Office Agency","280","260","58520","55930"
"In post","2021","Heterosexual / straight","G6/G7","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Veterinary Medicines Directorate","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Water Services Regulation Authority","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Welsh Government (excl. agencies)","810","780","61620","60830"
"In post","2021","Heterosexual / straight","G6/G7","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Cabinet Office (excl. agencies)","400","400","96830","87750"
"In post","2021","Heterosexual / straight","SCS","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Competition and Markets Authority","90","90","107200","99920"
"In post","2021","Heterosexual / straight","SCS","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Crown Prosecution Service","70","70","95840","89220"
"In post","2021","Heterosexual / straight","SCS","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Defence Equipment and Support","100","100","103120","94470"
"In post","2021","Heterosexual / straight","SCS","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","260","250","83250","75560"
"In post","2021","Heterosexual / straight","SCS","Department for Digital, Culture, Media and Sport","100","90","86740","75950"
"In post","2021","Heterosexual / straight","SCS","Department for Education (excl. agencies)","170","160","81820","74100"
"In post","2021","Heterosexual / straight","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","150","140","84030","77290"
"In post","2021","Heterosexual / straight","SCS","Department for International Trade","110","110","86920","76810"
"In post","2021","Heterosexual / straight","SCS","Department for Transport (excl. agencies)","160","160","88160","79630"
"In post","2021","Heterosexual / straight","SCS","Department for Work and Pensions (excl. agencies)","170","170","90990","80950"
"In post","2021","Heterosexual / straight","SCS","Department of Health and Social Care (excl. agencies)","130","130","83790","76690"
"In post","2021","Heterosexual / straight","SCS","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Education and Skills Funding Agency","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Foreign, Commonwealth and Development Office (excl. agencies)","410","410","86300","78010"
"In post","2021","Heterosexual / straight","SCS","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Government Legal Department","120","110","85190","80670"
"In post","2021","Heterosexual / straight","SCS","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","HM Courts and Tribunals Service","60","60","84480","76750"
"In post","2021","Heterosexual / straight","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","HM Prison and Probation Service","70","70","99210","1e+05"
"In post","2021","Heterosexual / straight","SCS","HM Revenue and Customs (excl. agencies)","340","340","84380","78610"
"In post","2021","Heterosexual / straight","SCS","HM Treasury (excl. agencies)","130","120","83390","77000"
"In post","2021","Heterosexual / straight","SCS","Home Office (incl. agencies)","240","240","91940","83880"
"In post","2021","Heterosexual / straight","SCS","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Medicines and Healthcare Products Regulatory Agency","70","70","87300","84310"
"In post","2021","Heterosexual / straight","SCS","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Ministry of Defence (excl. agencies)","230","220","88280","79690"
"In post","2021","Heterosexual / straight","SCS","Ministry of Housing, Communities and Local Government (excl. agencies)","110","110","84850","76700"
"In post","2021","Heterosexual / straight","SCS","Ministry of Justice (excl. agencies)","120","110","89360","84800"
"In post","2021","Heterosexual / straight","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Public Health England","300","250","104980","101300"
"In post","2021","Heterosexual / straight","SCS","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Scottish Government (excl. agencies)","120","110","89950","83230"
"In post","2021","Heterosexual / straight","SCS","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","United Kingdom Statistics Authority","50","50","82990","76510"
"In post","2021","Heterosexual / straight","SCS","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Welsh Government (excl. agencies)","130","130","90220","81980"
"In post","2021","Heterosexual / straight","SCS","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SEO/HEO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
