"Status","Year","Function_of_post","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Analysis","EO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","EO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","EO","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","EO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","EO","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","EO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Department of Health and Social Care (excl. agencies)","40","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SCS","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SCS","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SCS","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","UK Statistics Authority","60","50","33620","32540"
"Leaver CS","2022","Analysis","SEO/HEO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Cabinet Office (excl. agencies)","110","110","69490","67710"
"Leaver CS","2022","Commercial","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SCS","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SCS","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Department of Health and Social Care (excl. agencies)","40","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Ministry of Defence (excl. agencies)","50","50","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","EO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","EO","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","EO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
