"Status","Year","Profession_of_post","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Human Resources","40-49","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Public Health England","40","40","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","50-59","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","60-64","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","60-64","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","60-64","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","60-64","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","65+","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Inspector of Education and Training","40-49","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Inspector of Education and Training","40-49","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Inspector of Education and Training","50-59","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","20-29","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","20-29","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","20-29","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","30-39","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","30-39","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","30-39","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","30-39","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","30-39","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","40-49","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","40-49","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","50-59","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","50-59","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","50-59","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","20-29","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","20-29","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","20-29","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","30-39","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","30-39","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","30-39","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","40-49","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","40-49","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","40-49","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","50-59","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","50-59","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","50-59","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","50-59","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","20-29","Department for International Trade","50","50","[c]","[c]"
"Leaver Dept.","2022","International Trade","30-39","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","30-39","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","40-49","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","50-59","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","20-29","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","20-29","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","20-29","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","20-29","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","20-29","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","20-29","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","20-29","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","20-29","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","20-29","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","20-29","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","30-39","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","30-39","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","30-39","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","30-39","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","30-39","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","30-39","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","30-39","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","30-39","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","30-39","Public Health England","60","60","44200","44900"
"Leaver Dept.","2022","Knowledge and Information Management","30-39","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","40-49","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","40-49","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","40-49","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","40-49","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","40-49","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","40-49","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","40-49","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","40-49","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","40-49","Public Health England","80","60","47940","50020"
"Leaver Dept.","2022","Knowledge and Information Management","40-49","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","50-59","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","50-59","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","50-59","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","50-59","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","50-59","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","50-59","Public Health England","60","50","50210","49780"
"Leaver Dept.","2022","Knowledge and Information Management","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","60-64","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","60-64","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","65+","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","65+","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","20-29","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","20-29","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","20-29","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","30-39","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","30-39","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","30-39","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","30-39","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","30-39","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","30-39","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","30-39","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","30-39","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","30-39","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","30-39","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","30-39","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","30-39","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","30-39","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","30-39","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","40-49","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","40-49","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","40-49","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","40-49","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","40-49","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","40-49","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","40-49","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","40-49","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","40-49","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","40-49","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","40-49","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","40-49","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","50-59","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","50-59","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","50-59","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","50-59","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","50-59","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","50-59","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","65+","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Medicine","20-29","Public Health England","[c]","[c]","[c]","[c]"
