"Status","Year","Ethnicity","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Chinese","Declared non-disabled","HM Revenue and Customs","140","130","34120","29570"
"In post","2021","Chinese","Declared non-disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Home Office","130","120","32270","28940"
"In post","2021","Chinese","Declared non-disabled","Ministry of Defence","70","60","33350","29200"
"In post","2021","Chinese","Declared non-disabled","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Ministry of Justice","110","110","30640","26410"
"In post","2021","Chinese","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Chinese","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Cabinet Office","30","30","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Department for Work and Pensions","340","310","27830","27570"
"In post","2021","Mixed","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Foreign, Commonwealth and Development Office","40","30","[c]","[c]"
"In post","2021","Mixed","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","HM Revenue and Customs","100","90","30930","28130"
"In post","2021","Mixed","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Home Office","90","80","31940","27370"
"In post","2021","Mixed","Declared disabled","Ministry of Defence","80","80","38380","34560"
"In post","2021","Mixed","Declared disabled","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Ministry of Justice","280","270","31640","28850"
"In post","2021","Mixed","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","Attorney General's Departments","200","190","47960","51070"
"In post","2021","Mixed","Declared non-disabled","Cabinet Office","150","140","47330","38580"
"In post","2021","Mixed","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","Department for Business, Energy and Industrial Strategy","200","190","45410","41550"
"In post","2021","Mixed","Declared non-disabled","Department for Digital, Culture, Media and Sport","70","70","45550","42020"
"In post","2021","Mixed","Declared non-disabled","Department for Education","130","130","43170","40840"
"In post","2021","Mixed","Declared non-disabled","Department for Environment, Food and Rural Affairs","150","140","38480","33740"
"In post","2021","Mixed","Declared non-disabled","Department for International Trade","60","60","46900","43480"
"In post","2021","Mixed","Declared non-disabled","Department for Transport","180","170","34940","32880"
"In post","2021","Mixed","Declared non-disabled","Department for Work and Pensions","1200","1130","28560","27570"
"In post","2021","Mixed","Declared non-disabled","Department of Health and Social Care","210","190","40000","36690"
"In post","2021","Mixed","Declared non-disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","Foreign, Commonwealth and Development Office","220","220","45250","38600"
"In post","2021","Mixed","Declared non-disabled","HM Land Registry","40","40","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","HM Revenue and Customs","560","530","34210","31810"
"In post","2021","Mixed","Declared non-disabled","HM Treasury","80","80","46870","46770"
"In post","2021","Mixed","Declared non-disabled","Home Office","600","550","33690","29080"
"In post","2021","Mixed","Declared non-disabled","Ministry of Defence","450","440","34290","32120"
"In post","2021","Mixed","Declared non-disabled","Ministry of Housing, Communities and Local Government","80","70","42910","39600"
"In post","2021","Mixed","Declared non-disabled","Ministry of Justice","1140","1080","30870","27700"
"In post","2021","Mixed","Declared non-disabled","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","Scottish Government","80","80","40450","34370"
"In post","2021","Mixed","Declared non-disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared non-disabled","UK Export Finance","[c]","[c]","[c]","[c]"
