"Status","Year","Disability","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Policy","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Policy","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Policy","Department for Business, Energy and Industrial Strategy","3340","3260","50070","53380"
"In post","2022","Declared non-disabled","Policy","Department for Digital, Culture, Media and Sport","920","910","47210","51730"
"In post","2022","Declared non-disabled","Policy","Department for Education","1920","1820","48360","49860"
"In post","2022","Declared non-disabled","Policy","Department for Environment, Food and Rural Affairs","2770","2670","42610","38750"
"In post","2022","Declared non-disabled","Policy","Department for International Trade","110","110","47440","41370"
"In post","2022","Declared non-disabled","Policy","Department for Levelling Up, Housing and Communities","1260","1230","48270","48200"
"In post","2022","Declared non-disabled","Policy","Department for Transport","1110","1070","46090","42470"
"In post","2022","Declared non-disabled","Policy","Department for Work and Pensions","840","800","45810","40310"
"In post","2022","Declared non-disabled","Policy","Department of Health and Social Care","380","370","50560","53320"
"In post","2022","Declared non-disabled","Policy","Food Standards Agency","160","150","41590","37910"
"In post","2022","Declared non-disabled","Policy","Foreign, Commonwealth and Development Office","2780","2740","50750","51500"
"In post","2022","Declared non-disabled","Policy","HM Revenue and Customs","730","700","55960","55210"
"In post","2022","Declared non-disabled","Policy","HM Treasury","1020","1000","50500","52500"
"In post","2022","Declared non-disabled","Policy","Home Office","1560","1520","52020","57430"
"In post","2022","Declared non-disabled","Policy","Ministry of Defence","870","840","45800","44000"
"In post","2022","Declared non-disabled","Policy","Ministry of Justice","660","640","46110","41750"
"In post","2022","Declared non-disabled","Policy","Northern Ireland Office","60","60","50650","51230"
"In post","2022","Declared non-disabled","Policy","Office for Standards in Education, Children's Services and Skills","60","60","49780","42660"
"In post","2022","Declared non-disabled","Policy","Office of Gas and Electricity Markets","80","70","38020","34240"
"In post","2022","Declared non-disabled","Policy","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Policy","Office of Rail and Road","70","70","56780","55000"
"In post","2022","Declared non-disabled","Policy","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Policy","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Policy","Scottish Government","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Policy","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Policy","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Policy","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Policy","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Policy","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Policy","Welsh Government","1440","1370","44040","38160"
"In post","2022","Declared non-disabled","Project Delivery","Attorney General's Departments","70","70","40370","38180"
"In post","2022","Declared non-disabled","Project Delivery","Cabinet Office","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Competition and Markets Authority","310","300","60400","56000"
"In post","2022","Declared non-disabled","Project Delivery","Department for Business, Energy and Industrial Strategy","390","380","44620","41550"
"In post","2022","Declared non-disabled","Project Delivery","Department for Digital, Culture, Media and Sport","170","170","47480","51730"
"In post","2022","Declared non-disabled","Project Delivery","Department for Education","50","50","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Department for Environment, Food and Rural Affairs","180","170","35900","35900"
"In post","2022","Declared non-disabled","Project Delivery","Department for International Trade","50","50","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Department for Levelling Up, Housing and Communities","120","120","46150","48200"
"In post","2022","Declared non-disabled","Project Delivery","Department for Transport","410","400","48080","44030"
"In post","2022","Declared non-disabled","Project Delivery","Department for Work and Pensions","1150","1020","35420","33180"
"In post","2022","Declared non-disabled","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Foreign, Commonwealth and Development Office","250","240","43140","38600"
"In post","2022","Declared non-disabled","Project Delivery","HM Land Registry","110","110","40760","38550"
"In post","2022","Declared non-disabled","Project Delivery","HM Revenue and Customs","1860","1790","46410","40520"
"In post","2022","Declared non-disabled","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Home Office","1110","1080","45960","41950"
"In post","2022","Declared non-disabled","Project Delivery","Ministry of Defence","4520","4390","42500","40420"
"In post","2022","Declared non-disabled","Project Delivery","Ministry of Justice","220","220","43840","41750"
"In post","2022","Declared non-disabled","Project Delivery","National Crime Agency","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","UK Statistics Authority","130","120","42000","36840"
"In post","2022","Declared non-disabled","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Welsh Government","120","120","45270","40100"
"In post","2022","Declared non-disabled","Property","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Cabinet Office","110","110","52580","54700"
"In post","2022","Declared non-disabled","Property","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Department for Education","390","380","52990","54400"
"In post","2022","Declared non-disabled","Property","Department for Environment, Food and Rural Affairs","290","270","39750","36520"
"In post","2022","Declared non-disabled","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Department for Transport","130","120","34270","31040"
"In post","2022","Declared non-disabled","Property","Department for Work and Pensions","160","160","42160","37660"
"In post","2022","Declared non-disabled","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Foreign, Commonwealth and Development Office","340","340","42840","40510"
"In post","2022","Declared non-disabled","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","HM Revenue and Customs","1670","1540","37720","33370"
"In post","2022","Declared non-disabled","Property","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Ministry of Defence","1560","1520","33220","33300"
"In post","2022","Declared non-disabled","Property","Ministry of Justice","340","330","44620","41750"
"In post","2022","Declared non-disabled","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Scottish Government","[c]","[c]","[c]","[c]"
