"Status","Year","Disability","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Health and Safety Executive","50","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","HM Courts and Tribunals Service","110","90","37180","36800"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","HM Land Registry","60","40","36050","33840"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","HM Prison and Probation Service","170","150","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","HM Revenue and Customs (excl. agencies)","670","590","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Home Office (incl. agencies)","170","150","37570","36620"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Maritime and Coastguard Agency","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Ministry of Defence (excl. agencies)","360","340","38140","36860"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Ministry of Justice (excl. agencies)","50","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Office for Standards in Education, Children's Services and Skills","40","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Public Health England","190","170","36070","36330"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Scottish Government (excl. agencies)","50","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","United Kingdom Statistics Authority","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Valuation Office Agency","40","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Welsh Government (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","HM Prison and Probation Service","400","340","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Submarine Delivery Agency","40","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Department for Work and Pensions (excl. agencies)","60","50","21250","21010"
"Leaver CS","2021","Undeclared","AA/AO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","HM Courts and Tribunals Service","60","40","19480","19930"
"Leaver CS","2021","Undeclared","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","HM Prison and Probation Service","380","310","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","HM Revenue and Customs (excl. agencies)","150","120","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Ministry of Defence (excl. agencies)","70","70","24100","21130"
"Leaver CS","2021","Undeclared","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Department for Work and Pensions (excl. agencies)","50","40","27860","27570"
"Leaver CS","2021","Undeclared","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","HM Prison and Probation Service","60","50","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","HM Revenue and Customs (excl. agencies)","90","70","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Home Office (incl. agencies)","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
