"Status","Year","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","South East (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Veterinary Medicines Directorate","170","160","42670","38820"
"In post","2021","South East (England)","Wilton Park","90","80","34080","29410"
"In post","2021","South West (England)","Advisory, Conciliation and Arbitration Service","60","50","33460","30970"
"In post","2021","South West (England)","Animal and Plant Health Agency","420","400","29100","25100"
"In post","2021","South West (England)","Cabinet Office (excl. agencies)","190","180","53790","49700"
"In post","2021","South West (England)","Centre for Environment, Fisheries and Aquaculture Science","150","140","32680","29270"
"In post","2021","South West (England)","Charity Commission","50","50","35580","30350"
"In post","2021","South West (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Crown Prosecution Service","290","270","39770","34480"
"In post","2021","South West (England)","Defence Equipment and Support","8660","8350","37810","35300"
"In post","2021","South West (England)","Defence Science and Technology Laboratory","2670","2580","39860","37320"
"In post","2021","South West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Department for Education (excl. agencies)","140","130","46090","42220"
"In post","2021","South West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","940","890","40210","36970"
"In post","2021","South West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Department for Work and Pensions (excl. agencies)","5740","4990","26140","27570"
"In post","2021","South West (England)","Driver and Vehicle Standards Agency","570","530","32160","27680"
"In post","2021","South West (England)","Education and Skills Funding Agency","80","80","39360","36780"
"In post","2021","South West (England)","Food Standards Agency","50","50","[c]","[c]"
"In post","2021","South West (England)","Government Internal Audit Agency","40","40","[c]","[c]"
"In post","2021","South West (England)","Government Legal Department","40","40","[c]","[c]"
"In post","2021","South West (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Health and Safety Executive","80","70","44980","46320"
"In post","2021","South West (England)","HM Courts and Tribunals Service","990","880","23110","20100"
"In post","2021","South West (England)","HM Land Registry","1550","1400","32770","31740"
"In post","2021","South West (England)","HM Prison and Probation Service","3920","3660","29100","27150"
"In post","2021","South West (England)","HM Revenue and Customs (excl. agencies)","1300","1220","35160","31810"
"In post","2021","South West (England)","Home Office (incl. agencies)","390","360","28190","25440"
"In post","2021","South West (England)","Insolvency Service","150","140","30040","26290"
"In post","2021","South West (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Legal Aid Agency","80","70","29090","22570"
"In post","2021","South West (England)","Maritime and Coastguard Agency","70","70","36760","34930"
"In post","2021","South West (England)","Met Office","1740","1660","40330","39650"
"In post","2021","South West (England)","Ministry of Defence (excl. agencies)","8370","8040","33000","33000"
"In post","2021","South West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","120","110","40500","36340"
"In post","2021","South West (England)","Ministry of Justice (excl. agencies)","100","100","39260","35820"
"In post","2021","South West (England)","National Crime Agency","470","450","36140","35890"
"In post","2021","South West (England)","Office for Standards in Education, Children's Services and Skills","280","270","43010","35010"
"In post","2021","South West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Planning Inspectorate","810","740","43430","42050"
"In post","2021","South West (England)","Public Health England","1220","1120","38670","34530"
"In post","2021","South West (England)","Rural Payments Agency","280","250","27690","25610"
"In post","2021","South West (England)","Submarine Delivery Agency","1500","1470","41600","39860"
"In post","2021","South West (England)","UK Hydrographic Office","840","800","34690","33290"
"In post","2021","South West (England)","UK Space Agency","120","110","45900","49080"
"In post","2021","South West (England)","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Valuation Office Agency","540","500","28840","24500"
"In post","2021","South West (England)","Vehicle Certification Agency","130","120","33750","28980"
"In post","2021","Unknown","Cabinet Office (excl. agencies)","600","600","36250","32000"
"In post","2021","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Work and Pensions (excl. agencies)","900","840","30410","27570"
"In post","2021","Unknown","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","220","210","33630","28120"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","National Crime Agency","100","100","45080","44910"
"In post","2021","Unknown","Royal Fleet Auxiliary","1830","1830","37620","34460"
"In post","2021","Wales","Advisory, Conciliation and Arbitration Service","90","90","30920","30950"
"In post","2021","Wales","Animal and Plant Health Agency","320","300","28280","25100"
"In post","2021","Wales","Cabinet Office (excl. agencies)","70","60","38410","30370"
"In post","2021","Wales","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Companies House","1030","950","31130","27460"
"In post","2021","Wales","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Crown Commercial Service","110","110","33670","31680"
"In post","2021","Wales","Crown Prosecution Service","360","330","41230","38470"
"In post","2021","Wales","Defence Electronics and Components Agency","380","360","28840","28750"
"In post","2021","Wales","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","80","70","34620","30360"
"In post","2021","Wales","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Wales","Department for Work and Pensions (excl. agencies)","5640","5050","25760","27570"
"In post","2021","Wales","Driver and Vehicle Licensing Agency","6230","5490","26100","21590"
"In post","2021","Wales","Driver and Vehicle Standards Agency","520","490","29190","26780"
"In post","2021","Wales","ESTYN","110","100","58000","74730"
"In post","2021","Wales","Food Standards Agency","140","130","36990","30840"
"In post","2021","Wales","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Health and Safety Executive","100","90","41050","44460"
"In post","2021","Wales","HM Courts and Tribunals Service","950","860","22980","20100"
"In post","2021","Wales","HM Land Registry","720","650","29080","27130"
"In post","2021","Wales","HM Prison and Probation Service","2880","2720","29170","26810"
"In post","2021","Wales","HM Revenue and Customs (excl. agencies)","4150","3840","27810","25560"
"In post","2021","Wales","Home Office (incl. agencies)","640","590","27400","25040"
"In post","2021","Wales","Insolvency Service","70","70","28260","26000"
"In post","2021","Wales","Legal Aid Agency","40","40","[c]","[c]"
"In post","2021","Wales","Maritime and Coastguard Agency","110","100","31670","26780"
"In post","2021","Wales","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Ministry of Defence (excl. agencies)","730","700","25400","21580"
"In post","2021","Wales","Ministry of Justice (excl. agencies)","120","110","37890","31090"
"In post","2021","Wales","National Crime Agency","60","60","37280","36410"
"In post","2021","Wales","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Planning Inspectorate","40","40","[c]","[c]"
"In post","2021","Wales","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Wales","UK Intellectual Property Office","1490","1410","37580","31010"
"In post","2021","Wales","United Kingdom Statistics Authority","2710","2570","34510","31090"
"In post","2021","Wales","Valuation Office Agency","270","250","35380","32110"
"In post","2021","Wales","Wales Office","[c]","[c]","[c]","[c]"
