"Status","Year","Responsibility_level","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","SCS","Female","Unknown","60","50","[c]","[c]"
"Leaver CS","2022","SCS","Female","White","220","190","95300","92500"
"Leaver CS","2022","SCS","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Male","Unknown","70","50","[c]","[c]"
"Leaver CS","2022","SCS","Male","White","270","240","98680","94050"
"Leaver CS","2022","SCS","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Female","Asian","270","250","37070","36770"
"Leaver CS","2022","SEO/HEO","Female","Black","190","180","37610","36500"
