"Status","Year","Age","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","60-64","Male","No function","190","170","31870","22570"
"New entrant CS","2021","60-64","Male","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2021","60-64","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Male","Unknown","360","350","28810","27570"
"New entrant CS","2021","60-64","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Female","No function","60","40","36420","28590"
"New entrant CS","2021","65+","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Female","Unknown","50","50","[c]","[c]"
"New entrant CS","2021","65+","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Male","No function","70","50","40540","29180"
"New entrant CS","2021","65+","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Male","Unknown","50","40","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Female","No function","310","300","21980","21260"
"New entrant CS","2022","16-19","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Female","Unknown","70","70","22380","21260"
"New entrant CS","2022","16-19","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Male","No function","280","260","21830","21260"
"New entrant CS","2022","16-19","Male","Project Delivery","60","60","17720","17140"
"New entrant CS","2022","16-19","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Male","Unknown","60","60","21000","21050"
"New entrant CS","2022","20-29","Female","Analysis","470","460","30310","30710"
"New entrant CS","2022","20-29","Female","Commercial","200","190","30410","27500"
"New entrant CS","2022","20-29","Female","Communications","400","390","29140","26590"
"New entrant CS","2022","20-29","Female","Counter Fraud","370","360","26480","26590"
"New entrant CS","2022","20-29","Female","Debt","260","250","21410","21250"
"New entrant CS","2022","20-29","Female","Digital, Data & Technology","440","430","31420","29360"
"New entrant CS","2022","20-29","Female","Finance","230","220","29570","27270"
"New entrant CS","2022","20-29","Female","Grants Management","110","100","21550","21300"
"New entrant CS","2022","20-29","Female","Human Resources","370","350","26510","26130"
"New entrant CS","2022","20-29","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Female","Legal","430","420","28140","26200"
"New entrant CS","2022","20-29","Female","No function","10410","10210","25830","24250"
"New entrant CS","2022","20-29","Female","Project Delivery","310","300","28650","26350"
"New entrant CS","2022","20-29","Female","Property","210","210","27180","25000"
"New entrant CS","2022","20-29","Female","Security","100","100","26990","25640"
"New entrant CS","2022","20-29","Female","Unknown","1990","1940","26760","25770"
"New entrant CS","2022","20-29","Male","Analysis","510","500","30520","30710"
"New entrant CS","2022","20-29","Male","Commercial","150","140","29220","26670"
"New entrant CS","2022","20-29","Male","Communications","330","320","28130","26590"
"New entrant CS","2022","20-29","Male","Counter Fraud","280","280","26490","26590"
"New entrant CS","2022","20-29","Male","Debt","190","190","21650","21250"
"New entrant CS","2022","20-29","Male","Digital, Data & Technology","600","600","30770","29010"
"New entrant CS","2022","20-29","Male","Finance","230","210","28720","26750"
"New entrant CS","2022","20-29","Male","Grants Management","100","100","21960","21300"
"New entrant CS","2022","20-29","Male","Human Resources","170","160","27790","26810"
"New entrant CS","2022","20-29","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Male","Legal","160","160","30310","26950"
"New entrant CS","2022","20-29","Male","No function","6640","6570","26210","24830"
"New entrant CS","2022","20-29","Male","Project Delivery","360","360","28310","27540"
"New entrant CS","2022","20-29","Male","Property","170","170","27850","25750"
"New entrant CS","2022","20-29","Male","Security","230","230","26090","25000"
"New entrant CS","2022","20-29","Male","Unknown","1540","1520","26630","24880"
"New entrant CS","2022","20-29","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Female","Analysis","140","130","38020","36500"
"New entrant CS","2022","30-39","Female","Commercial","160","150","41840","36500"
"New entrant CS","2022","30-39","Female","Communications","220","210","33610","30350"
"New entrant CS","2022","30-39","Female","Counter Fraud","230","220","27140","26590"
"New entrant CS","2022","30-39","Female","Debt","150","140","21490","21250"
"New entrant CS","2022","30-39","Female","Digital, Data & Technology","340","330","38870","36700"
"New entrant CS","2022","30-39","Female","Finance","190","170","34570","32790"
"New entrant CS","2022","30-39","Female","Grants Management","80","70","21430","21300"
"New entrant CS","2022","30-39","Female","Human Resources","220","210","33660","30730"
"New entrant CS","2022","30-39","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Female","Legal","240","230","42200","43920"
"New entrant CS","2022","30-39","Female","No function","5720","5370","28780","26590"
"New entrant CS","2022","30-39","Female","Project Delivery","240","230","35950","33080"
"New entrant CS","2022","30-39","Female","Property","130","130","32040","26350"
"New entrant CS","2022","30-39","Female","Security","50","50","30150","27700"
"New entrant CS","2022","30-39","Female","Unknown","1370","1300","31200","27300"
"New entrant CS","2022","30-39","Male","Analysis","150","140","39080","36650"
"New entrant CS","2022","30-39","Male","Commercial","120","110","49070","40350"
"New entrant CS","2022","30-39","Male","Communications","210","210","30420","26590"
"New entrant CS","2022","30-39","Male","Counter Fraud","220","220","28320","26630"
"New entrant CS","2022","30-39","Male","Debt","120","120","22030","21250"
"New entrant CS","2022","30-39","Male","Digital, Data & Technology","530","520","39370","36740"
"New entrant CS","2022","30-39","Male","Finance","140","130","37310","36050"
"New entrant CS","2022","30-39","Male","Grants Management","50","50","[c]","[c]"
"New entrant CS","2022","30-39","Male","Human Resources","110","100","36410","31990"
"New entrant CS","2022","30-39","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Male","Legal","120","120","43730","46000"
"New entrant CS","2022","30-39","Male","No function","4160","4100","29030","26880"
"New entrant CS","2022","30-39","Male","Project Delivery","260","260","38190","38650"
"New entrant CS","2022","30-39","Male","Property","130","120","34060","29360"
"New entrant CS","2022","30-39","Male","Security","150","150","29770","25540"
"New entrant CS","2022","30-39","Male","Unknown","1140","1130","31570","27570"
"New entrant CS","2022","40-49","Female","Analysis","60","50","39670","37220"
"New entrant CS","2022","40-49","Female","Commercial","120","100","47200","40000"
"New entrant CS","2022","40-49","Female","Communications","110","100","36170","29760"
"New entrant CS","2022","40-49","Female","Counter Fraud","130","120","27320","27570"
"New entrant CS","2022","40-49","Female","Debt","100","100","21860","21250"
"New entrant CS","2022","40-49","Female","Digital, Data & Technology","220","210","40440","37450"
"New entrant CS","2022","40-49","Female","Finance","120","110","38390","36500"
"New entrant CS","2022","40-49","Female","Grants Management","50","50","21700","21300"
"New entrant CS","2022","40-49","Female","Human Resources","200","190","36500","33000"
"New entrant CS","2022","40-49","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","40-49","Female","Legal","140","120","47080","50500"
"New entrant CS","2022","40-49","Female","No function","4190","3900","30340","27570"
"New entrant CS","2022","40-49","Female","Project Delivery","180","170","39370","36780"
"New entrant CS","2022","40-49","Female","Property","100","90","33310","26350"
"New entrant CS","2022","40-49","Female","Security","40","40","[c]","[c]"
"New entrant CS","2022","40-49","Female","Unknown","970","930","33200","27570"
"New entrant CS","2022","40-49","Male","Analysis","70","70","45380","39050"
"New entrant CS","2022","40-49","Male","Commercial","90","90","60650","56590"
"New entrant CS","2022","40-49","Male","Communications","90","90","33190","26590"
"New entrant CS","2022","40-49","Male","Counter Fraud","130","130","28260","27570"
"New entrant CS","2022","40-49","Male","Debt","50","40","[c]","[c]"
"New entrant CS","2022","40-49","Male","Digital, Data & Technology","360","350","44870","41870"
"New entrant CS","2022","40-49","Male","Finance","90","80","38730","36050"
"New entrant CS","2022","40-49","Male","Grants Management","30","30","[c]","[c]"
"New entrant CS","2022","40-49","Male","Human Resources","70","60","39870","32790"
"New entrant CS","2022","40-49","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","40-49","Male","Legal","60","60","48670","50500"
"New entrant CS","2022","40-49","Male","No function","2510","2450","31790","27570"
"New entrant CS","2022","40-49","Male","Project Delivery","210","210","41190","39130"
"New entrant CS","2022","40-49","Male","Property","130","130","40860","38360"
"New entrant CS","2022","40-49","Male","Security","100","100","33610","26350"
"New entrant CS","2022","40-49","Male","Unknown","720","710","34840","28650"
"New entrant CS","2022","50-59","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","50-59","Female","Commercial","60","60","50430","43810"
"New entrant CS","2022","50-59","Female","Communications","70","70","31910","26820"
"New entrant CS","2022","50-59","Female","Counter Fraud","90","90","25920","26360"
"New entrant CS","2022","50-59","Female","Debt","70","70","22000","21260"
"New entrant CS","2022","50-59","Female","Digital, Data & Technology","100","90","40670","37300"
"New entrant CS","2022","50-59","Female","Finance","80","70","38110","33950"
"New entrant CS","2022","50-59","Female","Grants Management","50","40","[c]","[c]"
"New entrant CS","2022","50-59","Female","Human Resources","130","120","38970","33180"
"New entrant CS","2022","50-59","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","50-59","Female","Legal","40","40","[c]","[c]"
"New entrant CS","2022","50-59","Female","No function","3460","3230","29280","26710"
"New entrant CS","2022","50-59","Female","Project Delivery","100","100","35120","31960"
"New entrant CS","2022","50-59","Female","Property","60","60","31010","22010"
"New entrant CS","2022","50-59","Female","Security","30","30","[c]","[c]"
"New entrant CS","2022","50-59","Female","Unknown","740","690","32390","27570"
"New entrant CS","2022","50-59","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","50-59","Male","Commercial","70","60","62060","61710"
"New entrant CS","2022","50-59","Male","Communications","50","40","[c]","[c]"
"New entrant CS","2022","50-59","Male","Counter Fraud","110","100","28950","27570"
"New entrant CS","2022","50-59","Male","Debt","30","30","[c]","[c]"
"New entrant CS","2022","50-59","Male","Digital, Data & Technology","230","230","45620","42510"
"New entrant CS","2022","50-59","Male","Finance","60","50","43150","42330"
"New entrant CS","2022","50-59","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","50-59","Male","Human Resources","50","50","[c]","[c]"
"New entrant CS","2022","50-59","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","50-59","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","50-59","Male","No function","2290","2190","30530","27570"
"New entrant CS","2022","50-59","Male","Project Delivery","210","210","46430","42000"
"New entrant CS","2022","50-59","Male","Property","120","120","37990","33000"
"New entrant CS","2022","50-59","Male","Security","130","130","30400","25380"
"New entrant CS","2022","50-59","Male","Unknown","750","690","33960","30450"
"New entrant CS","2022","60-64","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Female","No function","840","740","28090","26310"
"New entrant CS","2022","60-64","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Female","Unknown","90","80","28600","24880"
"New entrant CS","2022","60-64","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Male","Digital, Data & Technology","30","30","[c]","[c]"
"New entrant CS","2022","60-64","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Male","No function","640","580","30840","27890"
"New entrant CS","2022","60-64","Male","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2022","60-64","Male","Property","30","30","[c]","[c]"
"New entrant CS","2022","60-64","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Male","Unknown","140","120","33270","31540"
"New entrant CS","2022","65+","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Female","No function","220","170","30470","27420"
"New entrant CS","2022","65+","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Male","No function","240","180","31100","28200"
"New entrant CS","2022","65+","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","Male","Unknown","30","30","[c]","[c]"
"New entrant CS","2022","Unknown","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Male","No function","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","","",""
"","Home Office, Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","","",""
"Sex","Self reported sex.","","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","","",""
"Age","Age in 10 year bands.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
