"Status","Year","Function_of_post","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Commercial","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Undeclared","Department of Health and Social Care","50","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Cabinet Office","130","130","76470","70450"
"Leaver CS","2022","Commercial","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Cabinet Office","30","30","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Department of Health and Social Care","30","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Heterosexual / straight","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","LGBO","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Heterosexual / straight","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Heterosexual / straight","Department for Work and Pensions","130","100","26430","27570"
"Leaver CS","2022","Counter Fraud","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Heterosexual / straight","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Undeclared","Department for Work and Pensions","40","30","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","Department for Work and Pensions","70","50","27080","27570"
"Leaver CS","2022","Counter Fraud","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Heterosexual / straight","Department for Work and Pensions","150","120","22580","21260"
"Leaver CS","2022","Debt","Heterosexual / straight","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Unknown","Department for Work and Pensions","40","30","[c]","[c]"
"Leaver CS","2022","Debt","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Heterosexual / straight","Cabinet Office","90","80","56650","54700"
"Leaver CS","2022","Digital, Data & Technology","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
