"Status","Year","Function_of_post","Organisation","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","No function","Advisory, Conciliation and Arbitration Service","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Advisory, Conciliation and Arbitration Service","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Advisory, Conciliation and Arbitration Service","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Animal and Plant Health Agency","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Animal and Plant Health Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Animal and Plant Health Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Animal and Plant Health Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Animal and Plant Health Agency","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Cabinet Office (excl. agencies)","20-29","590","590","33010","32000"
"Leaver Dept.","2021","No function","Cabinet Office (excl. agencies)","30-39","270","270","44890","38580"
"Leaver Dept.","2021","No function","Cabinet Office (excl. agencies)","40-49","80","80","60030","57810"
"Leaver Dept.","2021","No function","Cabinet Office (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Cabinet Office (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Cabinet Office (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Companies House","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Companies House","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Companies House","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Criminal Injuries Compensation Authority","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Criminal Injuries Compensation Authority","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Criminal Injuries Compensation Authority","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Criminal Injuries Compensation Authority","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Crown Commercial Service","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Crown Commercial Service","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Crown Office and Procurator Fiscal Service","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Crown Office and Procurator Fiscal Service","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Crown Office and Procurator Fiscal Service","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Defence Science and Technology Laboratory","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Defence Science and Technology Laboratory","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Defence Science and Technology Laboratory","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Defence Science and Technology Laboratory","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Defence Science and Technology Laboratory","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","20-29","160","150","38420","33640"
"Leaver Dept.","2021","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","30-39","130","120","48890","52300"
"Leaver Dept.","2021","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","40-49","60","50","55490","53600"
"Leaver Dept.","2021","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Digital, Culture, Media and Sport","20-29","70","70","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Digital, Culture, Media and Sport","30-39","60","60","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Digital, Culture, Media and Sport","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Digital, Culture, Media and Sport","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Digital, Culture, Media and Sport","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Education (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Education (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Education (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Education (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","20-29","170","160","35430","33510"
"Leaver Dept.","2021","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","30-39","90","90","42720","38370"
"Leaver Dept.","2021","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","40-49","50","40","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","50-59","30","30","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for International Trade","20-29","90","90","36870","32730"
"Leaver Dept.","2021","No function","Department for International Trade","30-39","60","60","46270","50700"
"Leaver Dept.","2021","No function","Department for International Trade","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for International Trade","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for International Trade","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for International Trade","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Transport (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Transport (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Driver and Vehicle Licensing Agency","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Driver and Vehicle Licensing Agency","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Driver and Vehicle Licensing Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Driver and Vehicle Licensing Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Driver and Vehicle Licensing Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Driver and Vehicle Standards Agency","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Driver and Vehicle Standards Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Driver and Vehicle Standards Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Driver and Vehicle Standards Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Education and Skills Funding Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Food Standards Agency","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Food Standards Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Food Standards Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Food Standards Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Foreign, Commonwealth and Development Office (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Foreign, Commonwealth and Development Office (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Government Internal Audit Agency","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Government Legal Department","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Health and Safety Executive","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Health and Safety Executive","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Health and Safety Executive","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Health and Safety Executive","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","HM Courts and Tribunals Service","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","HM Courts and Tribunals Service","20-29","120","110","21430","19930"
"Leaver Dept.","2021","No function","HM Courts and Tribunals Service","30-39","90","90","23340","21530"
"Leaver Dept.","2021","No function","HM Courts and Tribunals Service","40-49","50","50","[c]","[c]"
"Leaver Dept.","2021","No function","HM Courts and Tribunals Service","50-59","40","40","[c]","[c]"
"Leaver Dept.","2021","No function","HM Courts and Tribunals Service","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","HM Prison and Probation Service","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","HM Prison and Probation Service","20-29","90","90","[c]","[c]"
"Leaver Dept.","2021","No function","HM Prison and Probation Service","30-39","140","130","[c]","[c]"
"Leaver Dept.","2021","No function","HM Prison and Probation Service","40-49","80","80","[c]","[c]"
"Leaver Dept.","2021","No function","HM Prison and Probation Service","50-59","70","70","[c]","[c]"
"Leaver Dept.","2021","No function","HM Prison and Probation Service","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","HM Prison and Probation Service","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","HM Treasury (excl. agencies)","20-29","50","50","[c]","[c]"
"Leaver Dept.","2021","No function","HM Treasury (excl. agencies)","30-39","40","40","[c]","[c]"
"Leaver Dept.","2021","No function","HM Treasury (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","HM Treasury (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Insolvency Service","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Insolvency Service","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Insolvency Service","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Insolvency Service","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Institute for Apprenticeships and Technical Education","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Institute for Apprenticeships and Technical Education","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Institute for Apprenticeships and Technical Education","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Legal Aid Agency","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Legal Aid Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Legal Aid Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Legal Aid Agency","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Maritime and Coastguard Agency","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Maritime and Coastguard Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Maritime and Coastguard Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Maritime and Coastguard Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Maritime and Coastguard Agency","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","20-29","110","110","32850","32560"
"Leaver Dept.","2021","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","30-39","90","90","47010","51580"
"Leaver Dept.","2021","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","40-49","30","30","[c]","[c]"
"Leaver Dept.","2021","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Ministry of Justice (excl. agencies)","20-29","70","70","33750","30850"
"Leaver Dept.","2021","No function","Ministry of Justice (excl. agencies)","30-39","50","50","[c]","[c]"
"Leaver Dept.","2021","No function","Ministry of Justice (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Ministry of Justice (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Ministry of Justice (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","National Crime Agency","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","National Crime Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","National Crime Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","National Crime Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","National Infrastructure Commission","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","National Infrastructure Commission","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","National Infrastructure Commission","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","National Savings and Investments","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Northern Ireland Office","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Northern Ireland Office","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Northern Ireland Office","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Office for Standards in Education, Children's Services and Skills","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Office for Standards in Education, Children's Services and Skills","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Office for Standards in Education, Children's Services and Skills","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Office for Standards in Education, Children's Services and Skills","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Office of Gas and Electricity Markets","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Office of Gas and Electricity Markets","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Office of Gas and Electricity Markets","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Office of Gas and Electricity Markets","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Office of Qualifications and Examinations Regulation","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Office of Qualifications and Examinations Regulation","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Office of Rail and Road","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Office of Rail and Road","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Office of the Public Guardian","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Office of the Public Guardian","30-39","30","30","[c]","[c]"
"Leaver Dept.","2021","No function","Office of the Public Guardian","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Office of the Public Guardian","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Planning Inspectorate","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Planning Inspectorate","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Planning Inspectorate","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Planning Inspectorate","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Public Health England","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Public Health England","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Public Health England","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Public Health England","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Registers of Scotland","20-29","[c]","[c]","[c]","[c]"
