"Status","Year","Profession_of_post","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Project Delivery","Department for Transport (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Department for Transport (excl. agencies)","Project Delivery","450","440","53950","54380"
"In post","2021","Project Delivery","Department of Health and Social Care (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Driver and Vehicle Licensing Agency","Project Delivery","90","80","39900","39040"
"In post","2021","Project Delivery","Driver and Vehicle Standards Agency","Project Delivery","90","80","38290","39470"
"In post","2021","Project Delivery","Education and Skills Funding Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","ESTYN","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","FCDO Services","Project Delivery","70","70","39490","35390"
"In post","2021","Project Delivery","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","360","340","42890","38600"
"In post","2021","Project Delivery","Government Internal Audit Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Government Legal Department","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Government Property Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Health and Safety Executive","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Health and Safety Executive","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Health and Safety Executive","Project Delivery","50","40","[c]","[c]"
"In post","2021","Project Delivery","HM Courts and Tribunals Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","HM Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","HM Courts and Tribunals Service","No function","60","60","38660","33930"
"In post","2021","Project Delivery","HM Courts and Tribunals Service","Project Delivery","210","200","42320","36800"
"In post","2021","Project Delivery","HM Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","HM Land Registry","Project Delivery","140","140","40870","38550"
"In post","2021","Project Delivery","HM Revenue and Customs (excl. agencies)","Project Delivery","2500","2390","42880","38630"
"In post","2021","Project Delivery","HM Treasury (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Home Office (incl. agencies)","Unknown","1330","1300","45140","41950"
"In post","2021","Project Delivery","Insolvency Service","Project Delivery","40","40","[c]","[c]"
"In post","2021","Project Delivery","Institute for Apprenticeships and Technical Education","No function","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Institute for Apprenticeships and Technical Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Legal Aid Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Legal Aid Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Legal Aid Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Legal Aid Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Met Office","Project Delivery","200","190","40570","39650"
"In post","2021","Project Delivery","Ministry of Defence (excl. agencies)","Project Delivery","4630","4510","39690","37000"
"In post","2021","Project Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","Project Delivery","110","110","45490","45090"
"In post","2021","Project Delivery","Ministry of Justice (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Ministry of Justice (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Ministry of Justice (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Ministry of Justice (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Ministry of Justice (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Ministry of Justice (excl. agencies)","Project Delivery","200","200","42000","39330"
"In post","2021","Project Delivery","Ministry of Justice (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","National Crime Agency","Project Delivery","90","90","46620","45480"
"In post","2021","Project Delivery","National Savings and Investments","No function","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","National Savings and Investments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Office for Standards in Education, Children's Services and Skills","Project Delivery","30","30","[c]","[c]"
"In post","2021","Project Delivery","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Office of the Public Guardian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Planning Inspectorate","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Queen Elizabeth II Centre","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Queen Elizabeth II Centre","Security","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Registers of Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Rural Payments Agency","Project Delivery","150","140","37900","36520"
"In post","2021","Project Delivery","Scotland Office (incl. Office of the Advocate General for Scotland)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Scottish Prison Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Serious Fraud Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Submarine Delivery Agency","Project Delivery","520","500","42990","40570"
"In post","2021","Project Delivery","UK Export Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","UK Hydrographic Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","UK Intellectual Property Office","Project Delivery","30","30","[c]","[c]"
"In post","2021","Project Delivery","UK Space Agency","Project Delivery","50","50","43640","40050"
"In post","2021","Project Delivery","United Kingdom Statistics Authority","Project Delivery","230","220","40440","36030"
"In post","2021","Project Delivery","Valuation Office Agency","Project Delivery","80","70","40990","37750"
"In post","2021","Project Delivery","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Welsh Government (excl. agencies)","Unknown","70","70","42540","41560"
"In post","2021","Project Delivery","Wilton Park","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Wilton Park","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Property","Companies House","Property","[c]","[c]","[c]","[c]"
"In post","2021","Property","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Property","Defence Electronics and Components Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Property","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Property","Defence Equipment and Support","Project Delivery","70","70","36240","33740"
"In post","2021","Property","Defence Equipment and Support","Property","40","40","[c]","[c]"
"In post","2021","Property","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Property","Defence Science and Technology Laboratory","Property","30","30","[c]","[c]"
"In post","2021","Property","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Property","Department for Education (excl. agencies)","Project Delivery","220","220","53960","61010"
"In post","2021","Property","Department for Education (excl. agencies)","Property","270","260","49590","50630"
"In post","2021","Property","Department for Education (excl. agencies)","Unknown","70","70","47290","41450"
"In post","2021","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","390","370","36760","32560"
"In post","2021","Property","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","Property","Department for Transport (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Property","Department of Health and Social Care (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Property","Driver and Vehicle Licensing Agency","Property","60","50","30360","30540"
"In post","2021","Property","Driver and Vehicle Standards Agency","Property","70","60","32390","31380"
"In post","2021","Property","Education and Skills Funding Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Property","Education and Skills Funding Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Property","ESTYN","Property","[c]","[c]","[c]","[c]"
"In post","2021","Property","FCDO Services","Property","380","380","39290","37360"
"In post","2021","Property","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Property","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Property","Foreign, Commonwealth and Development Office (excl. agencies)","Property","70","70","54850","55430"
"In post","2021","Property","Government Property Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Property","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Property","Health and Safety Executive","Property","[c]","[c]","[c]","[c]"
"In post","2021","Property","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Property","HM Courts and Tribunals Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","Property","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Property","HM Courts and Tribunals Service","Property","50","50","39300","31360"
"In post","2021","Property","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2021","Property","HM Revenue and Customs (excl. agencies)","Property","250","240","39460","38630"
