"Status","Year","Ethnicity","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Chinese","30-39","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","30-39","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","30-39","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","30-39","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","30-39","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","30-39","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","30-39","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","30-39","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","30-39","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","30-39","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","40-49","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","40-49","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","40-49","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","40-49","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","40-49","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","40-49","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","40-49","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","40-49","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","40-49","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","40-49","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","40-49","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","40-49","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","50-59","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","50-59","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","50-59","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","50-59","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","50-59","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","50-59","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","50-59","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","50-59","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","50-59","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","50-59","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","50-59","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","50-59","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","60-64","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","60-64","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","60-64","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","60-64","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","60-64","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","60-64","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","60-64","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","60-64","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","60-64","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","60-64","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","60-64","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","60-64","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","65+","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","65+","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","65+","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","65+","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","65+","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","65+","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","65+","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","65+","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","65+","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","65+","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","65+","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","65+","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","16-19","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","16-19","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","16-19","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","16-19","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","16-19","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","16-19","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","16-19","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","16-19","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","16-19","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","16-19","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","16-19","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","20-29","Analysis","40","40","[c]","[c]"
"New entrant CS","2021","Mixed","20-29","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","20-29","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","20-29","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","20-29","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","20-29","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","20-29","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","20-29","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","20-29","No function","270","260","27540","26880"
"New entrant CS","2021","Mixed","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","20-29","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","20-29","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","20-29","Unknown","360","350","27200","27570"
"New entrant CS","2021","Mixed","30-39","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","30-39","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","30-39","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","30-39","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","30-39","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","30-39","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","30-39","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","30-39","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","30-39","No function","130","120","32150","28780"
"New entrant CS","2021","Mixed","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","30-39","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","30-39","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","30-39","Unknown","200","190","29150","27570"
"New entrant CS","2021","Mixed","40-49","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","40-49","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","40-49","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","40-49","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","40-49","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","40-49","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","40-49","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","40-49","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","40-49","No function","50","40","[c]","[c]"
"New entrant CS","2021","Mixed","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","40-49","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","40-49","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","40-49","Unknown","120","120","27760","27570"
"New entrant CS","2021","Mixed","50-59","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","50-59","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","50-59","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","50-59","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","50-59","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","50-59","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","50-59","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","50-59","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","50-59","No function","30","30","[c]","[c]"
"New entrant CS","2021","Mixed","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","50-59","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","50-59","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","50-59","Unknown","70","70","28350","27570"
"New entrant CS","2021","Mixed","60-64","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","60-64","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","60-64","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","60-64","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","60-64","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","60-64","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","60-64","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","60-64","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","60-64","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","60-64","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","60-64","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","60-64","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","65+","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","65+","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","65+","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","65+","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","65+","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","65+","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","65+","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","65+","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","65+","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","65+","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","65+","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","65+","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","16-19","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","16-19","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","16-19","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","16-19","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","16-19","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","16-19","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","16-19","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","16-19","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","16-19","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","16-19","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","16-19","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","20-29","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","20-29","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","20-29","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","20-29","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","20-29","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","20-29","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","20-29","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","20-29","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","20-29","No function","40","40","[c]","[c]"
"New entrant CS","2021","Other ethnicity","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","20-29","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","20-29","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","20-29","Unknown","80","80","28850","29290"
"New entrant CS","2021","Other ethnicity","30-39","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","30-39","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","30-39","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","30-39","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","30-39","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","30-39","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","30-39","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","30-39","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","30-39","No function","40","40","[c]","[c]"
"New entrant CS","2021","Other ethnicity","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","30-39","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","30-39","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","30-39","Unknown","50","40","[c]","[c]"
"New entrant CS","2021","Other ethnicity","40-49","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","40-49","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","40-49","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","40-49","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","40-49","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","40-49","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","40-49","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","40-49","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","40-49","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","40-49","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","40-49","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","40-49","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","Other ethnicity","50-59","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","50-59","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","50-59","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","50-59","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","50-59","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","50-59","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","50-59","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","50-59","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","50-59","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","50-59","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","50-59","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","50-59","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","60-64","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","60-64","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","60-64","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","60-64","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","60-64","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","60-64","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","60-64","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","60-64","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","60-64","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","60-64","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","60-64","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","60-64","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","65+","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","65+","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","65+","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","65+","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","65+","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","65+","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","65+","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","65+","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","65+","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","65+","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","65+","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","65+","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","No function","180","180","26450","25080"
"New entrant CS","2021","Undeclared","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Unknown","110","110","27000","27570"
"New entrant CS","2021","Undeclared","30-39","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Legal","[c]","[c]","[c]","[c]"
