"Status","Year","Profession_of_post","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Other","EO","Department for Transport","160","150","27950","29970"
"In post","2021","Other","EO","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Other","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Other","EO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Other","EO","HM Revenue and Customs","110","90","27610","27230"
"In post","2021","Other","EO","Home Office","610","540","28410","28670"
"In post","2021","Other","EO","Ministry of Defence","3430","3310","25550","26670"
"In post","2021","Other","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Other","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","EO","Office for Standards in Education","100","90","26460","25880"
"In post","2021","Other","EO","Office of Gas and Electricity Markets","120","120","25460","25000"
"In post","2021","Other","EO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Other","EO","Scottish Government","110","110","32950","33650"
"In post","2021","Other","EO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Other","EO","Welsh Government","60","50","28760","28850"
"In post","2021","Other","G6/G7","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","Other","G6/G7","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","G6/G7","Chancellor's other departments","140","130","80990","75420"
"In post","2021","Other","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Other","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Other","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Other","G6/G7","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Other","G6/G7","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Other","G6/G7","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Other","G6/G7","Department for Transport","110","110","75000","77220"
"In post","2021","Other","G6/G7","Department of Health and Social Care","110","110","58350","54470"
"In post","2021","Other","G6/G7","Foreign, Commonwealth and Development Office","180","170","63830","65590"
"In post","2021","Other","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Other","G6/G7","HM Revenue and Customs","160","150","59260","58130"
"In post","2021","Other","G6/G7","Home Office","250","240","61430","57680"
"In post","2021","Other","G6/G7","Ministry of Defence","470","460","56750","54570"
"In post","2021","Other","G6/G7","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Other","G6/G7","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Other","G6/G7","Office of Gas and Electricity Markets","190","190","59330","56580"
"In post","2021","Other","G6/G7","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Other","G6/G7","Scottish Government","30","30","[c]","[c]"
"In post","2021","Other","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Other","G6/G7","Welsh Government","110","100","62920","60830"
"In post","2021","Other","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2021","Other","SCS","Foreign, Commonwealth and Development Office","70","70","84620","78280"
"In post","2021","Other","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Other","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Other","SCS","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Other","SEO/HEO","Attorney General's Departments","120","110","33870","31710"
"In post","2021","Other","SEO/HEO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","SEO/HEO","Chancellor's other departments","90","90","41320","40290"
"In post","2021","Other","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Other","SEO/HEO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Other","SEO/HEO","Department for Digital, Culture, Media and Sport","30","30","[c]","[c]"
"In post","2021","Other","SEO/HEO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Other","SEO/HEO","Department for International Trade","70","70","34450","32120"
"In post","2021","Other","SEO/HEO","Department for Transport","130","120","35990","35060"
"In post","2021","Other","SEO/HEO","Department of Health and Social Care","110","110","38140","40450"
"In post","2021","Other","SEO/HEO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Other","SEO/HEO","HM Revenue and Customs","190","180","35630","35000"
"In post","2021","Other","SEO/HEO","Home Office","600","590","37380","36090"
"In post","2021","Other","SEO/HEO","Ministry of Defence","3110","3020","35010","33310"
"In post","2021","Other","SEO/HEO","Ministry of Justice","50","50","[c]","[c]"
"In post","2021","Other","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","SEO/HEO","Office for Standards in Education","50","50","35170","32010"
"In post","2021","Other","SEO/HEO","Office of Gas and Electricity Markets","150","150","36020","35650"
"In post","2021","Other","SEO/HEO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Other","SEO/HEO","Scottish Government","160","130","41710","42260"
"In post","2021","Other","SEO/HEO","The National Archives","50","50","35340","34770"
"In post","2021","Other","SEO/HEO","Welsh Government","390","370","40040","37410"
"In post","2021","Other","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Ministry of Defence","2060","2060","38280","34660"
"In post","2021","Planning","AA/AO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Planning","AA/AO","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Planning","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Planning","EO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Planning","EO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Planning","EO","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Planning","G6/G7","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Planning","G6/G7","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Planning","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Planning","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Planning","G6/G7","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"In post","2021","Planning","G6/G7","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Planning","G6/G7","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Planning","G6/G7","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Planning","SCS","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Planning","SCS","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Planning","SCS","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Planning","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Planning","SEO/HEO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Planning","SEO/HEO","Ministry of Housing, Communities and Local Government","70","60","38620","39600"
"In post","2021","Planning","SEO/HEO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Planning","SEO/HEO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Planning","SEO/HEO","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","G6/G7","Ministry of Housing, Communities and Local Government","340","300","57760","58810"
"In post","2021","Planning Inspectors","SCS","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA/AO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA/AO","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Policy","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA/AO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA/AO","Department for Environment, Food and Rural Affairs","50","50","[c]","[c]"
"In post","2021","Policy","AA/AO","Department for Transport","60","50","21410","21590"
"In post","2021","Policy","AA/AO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA/AO","Foreign, Commonwealth and Development Office","130","120","27340","28000"
"In post","2021","Policy","AA/AO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA/AO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA/AO","Ministry of Defence","110","110","21700","21130"
"In post","2021","Policy","AA/AO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA/AO","Ministry of Justice","180","170","22280","23060"
"In post","2021","Policy","AA/AO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA/AO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA/AO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA/AO","Welsh Government","150","150","23320","23830"
"In post","2021","Policy","EO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Policy","EO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","EO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Policy","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
