"Status","Year","Ethnicity","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Unknown","60-64","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","Social Security Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Social Security Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Department for Work and Pensions (excl. agencies)","160","160","22090","21010"
"New entrant CS","2021","White","16-19","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","HM Prison and Probation Service","60","50","22570","22850"
"New entrant CS","2021","White","16-19","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","White","16-19","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Social Security Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","16-19","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Animal and Plant Health Agency","190","180","24610","24370"
"New entrant CS","2021","White","20-29","Cabinet Office (excl. agencies)","250","250","30750","27500"
"New entrant CS","2021","White","20-29","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Crown Office and Procurator Fiscal Service","80","80","24790","21130"
"New entrant CS","2021","White","20-29","Crown Prosecution Service","190","190","24620","21000"
"New entrant CS","2021","White","20-29","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Defence Equipment and Support","150","150","25260","25000"
"New entrant CS","2021","White","20-29","Defence Science and Technology Laboratory","80","80","24710","22950"
"New entrant CS","2021","White","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","310","310","34670","33570"
"New entrant CS","2021","White","20-29","Department for Digital, Culture, Media and Sport","150","150","35360","34020"
"New entrant CS","2021","White","20-29","Department for Education (excl. agencies)","140","140","30500","29360"
"New entrant CS","2021","White","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","280","270","32200","32560"
"New entrant CS","2021","White","20-29","Department for International Trade","110","110","31630","31800"
"New entrant CS","2021","White","20-29","Department for Transport (excl. agencies)","150","150","32560","33990"
"New entrant CS","2021","White","20-29","Department for Work and Pensions (excl. agencies)","3420","3400","25320","27570"
"New entrant CS","2021","White","20-29","Department of Health and Social Care (excl. agencies)","110","110","32280","32790"
"New entrant CS","2021","White","20-29","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Driver and Vehicle Licensing Agency","80","70","21450","21590"
"New entrant CS","2021","White","20-29","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","ESTYN","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Government Legal Department","90","80","34070","29280"
"New entrant CS","2021","White","20-29","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Health and Safety Executive","90","90","26900","26370"
"New entrant CS","2021","White","20-29","HM Courts and Tribunals Service","320","310","21400","19930"
"New entrant CS","2021","White","20-29","HM Land Registry","160","160","23360","22350"
"New entrant CS","2021","White","20-29","HM Prison and Probation Service","1480","1470","23390","22920"
"New entrant CS","2021","White","20-29","HM Revenue and Customs (excl. agencies)","670","670","24220","20140"
"New entrant CS","2021","White","20-29","HM Treasury (excl. agencies)","180","180","30370","28500"
"New entrant CS","2021","White","20-29","Home Office (incl. agencies)","220","220","27890","24880"
"New entrant CS","2021","White","20-29","Insolvency Service","30","30","[c]","[c]"
"New entrant CS","2021","White","20-29","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Met Office","50","50","[c]","[c]"
"New entrant CS","2021","White","20-29","Ministry of Defence (excl. agencies)","610","610","25770","24080"
"New entrant CS","2021","White","20-29","Ministry of Housing, Communities and Local Government (excl. agencies)","80","80","32190","30320"
"New entrant CS","2021","White","20-29","Ministry of Justice (excl. agencies)","150","150","30130","30850"
"New entrant CS","2021","White","20-29","National Crime Agency","290","290","30350","28840"
"New entrant CS","2021","White","20-29","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"New entrant CS","2021","White","20-29","Office of Gas and Electricity Markets","110","110","26980","25000"
"New entrant CS","2021","White","20-29","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Public Health England","490","460","26410","24030"
"New entrant CS","2021","White","20-29","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Scottish Forestry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Scottish Government (excl. agencies)","100","100","28590","26160"
"New entrant CS","2021","White","20-29","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Social Security Scotland","70","70","22450","20060"
"New entrant CS","2021","White","20-29","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Submarine Delivery Agency","40","40","[c]","[c]"
"New entrant CS","2021","White","20-29","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","United Kingdom Statistics Authority","320","310","29050","29540"
"New entrant CS","2021","White","20-29","Valuation Office Agency","70","70","25380","24500"
"New entrant CS","2021","White","20-29","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","20-29","Welsh Government (excl. agencies)","70","60","23220","20500"
"New entrant CS","2021","White","20-29","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Animal and Plant Health Agency","70","70","26090","24920"
"New entrant CS","2021","White","30-39","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Cabinet Office (excl. agencies)","120","110","43910","40600"
"New entrant CS","2021","White","30-39","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Crown Commercial Service","30","30","[c]","[c]"
"New entrant CS","2021","White","30-39","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Crown Prosecution Service","110","110","38790","38000"
"New entrant CS","2021","White","30-39","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Defence Equipment and Support","110","100","33790","30250"
"New entrant CS","2021","White","30-39","Defence Science and Technology Laboratory","40","40","[c]","[c]"
"New entrant CS","2021","White","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","80","70","43340","40050"
"New entrant CS","2021","White","30-39","Department for Digital, Culture, Media and Sport","70","70","44060","38000"
"New entrant CS","2021","White","30-39","Department for Education (excl. agencies)","80","70","40330","36500"
"New entrant CS","2021","White","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","160","150","37640","35900"
"New entrant CS","2021","White","30-39","Department for International Trade","40","40","[c]","[c]"
"New entrant CS","2021","White","30-39","Department for Transport (excl. agencies)","70","70","41110","35060"
"New entrant CS","2021","White","30-39","Department for Work and Pensions (excl. agencies)","2280","2220","26600","27570"
"New entrant CS","2021","White","30-39","Department of Health and Social Care (excl. agencies)","50","50","43380","40650"
"New entrant CS","2021","White","30-39","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Driver and Vehicle Licensing Agency","40","30","[c]","[c]"
"New entrant CS","2021","White","30-39","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Forestry and Land Scotland","30","30","[c]","[c]"
"New entrant CS","2021","White","30-39","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Government Legal Department","50","40","[c]","[c]"
"New entrant CS","2021","White","30-39","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Health and Safety Executive","30","30","[c]","[c]"
"New entrant CS","2021","White","30-39","HM Courts and Tribunals Service","140","130","23940","19450"
"New entrant CS","2021","White","30-39","HM Land Registry","90","90","28800","22350"
"New entrant CS","2021","White","30-39","HM Prison and Probation Service","790","760","23920","22850"
"New entrant CS","2021","White","30-39","HM Revenue and Customs (excl. agencies)","330","320","26230","25560"
"New entrant CS","2021","White","30-39","HM Treasury (excl. agencies)","50","40","[c]","[c]"
"New entrant CS","2021","White","30-39","Home Office (incl. agencies)","130","130","32360","24890"
"New entrant CS","2021","White","30-39","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Maritime and Coastguard Agency","40","40","[c]","[c]"
"New entrant CS","2021","White","30-39","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Ministry of Defence (excl. agencies)","450","430","30050","26350"
"New entrant CS","2021","White","30-39","Ministry of Housing, Communities and Local Government (excl. agencies)","50","50","40160","36340"
"New entrant CS","2021","White","30-39","Ministry of Justice (excl. agencies)","100","100","41840","40000"
"New entrant CS","2021","White","30-39","National Crime Agency","210","210","34280","32770"
"New entrant CS","2021","White","30-39","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Office for Standards in Education, Children's Services and Skills","50","50","[c]","[c]"
"New entrant CS","2021","White","30-39","Office of Gas and Electricity Markets","50","50","33640","31980"
"New entrant CS","2021","White","30-39","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Public Health England","280","250","37130","36330"
"New entrant CS","2021","White","30-39","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Scottish Forestry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Scottish Government (excl. agencies)","120","120","36560","32900"
"New entrant CS","2021","White","30-39","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Social Security Scotland","60","60","25960","22790"
"New entrant CS","2021","White","30-39","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Submarine Delivery Agency","40","30","[c]","[c]"
"New entrant CS","2021","White","30-39","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","United Kingdom Statistics Authority","190","180","33330","29540"
"New entrant CS","2021","White","30-39","Valuation Office Agency","30","30","[c]","[c]"
"New entrant CS","2021","White","30-39","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Welsh Government (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","White","30-39","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","30-39","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Animal and Plant Health Agency","40","40","[c]","[c]"
"New entrant CS","2021","White","40-49","Cabinet Office (excl. agencies)","60","60","50790","49700"
"New entrant CS","2021","White","40-49","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Crown Prosecution Service","70","70","46450","48080"
"New entrant CS","2021","White","40-49","Defence Equipment and Support","110","100","38360","38000"
"New entrant CS","2021","White","40-49","Defence Science and Technology Laboratory","40","30","[c]","[c]"
"New entrant CS","2021","White","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Department for Education (excl. agencies)","50","50","[c]","[c]"
"New entrant CS","2021","White","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","80","80","45140","38020"
"New entrant CS","2021","White","40-49","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Department for Work and Pensions (excl. agencies)","2090","2040","26990","27570"
"New entrant CS","2021","White","40-49","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","40-49","HM Courts and Tribunals Service","100","90","23140","19930"
"New entrant CS","2021","White","40-49","HM Land Registry","70","70","29050","22350"
