"Status","Year","Responsibility_level","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Department for Digital, Culture, Media and Sport","70","70","35070","34020"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Department for Education","170","160","36150","36500"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Department for Environment, Food and Rural Affairs","190","190","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Department for International Trade","60","60","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Department for Levelling Up, Housing and Communities","130","130","35670","33960"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Department for Transport","180","170","37100","35650"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Department for Work and Pensions","380","370","35040","34290"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Department of Health and Social Care","1980","1750","35670","36330"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Food Standards Agency","40","40","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Foreign, Commonwealth and Development Office","40","30","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","HM Treasury","70","70","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Home Office","280","280","37280","36590"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Ministry of Defence","410","400","36340","36540"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Ministry of Justice","390","380","35940","36050"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","National Crime Agency","40","40","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","UK Statistics Authority","60","60","34150","33710"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Heterosexual / straight","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Cabinet Office","40","40","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Department of Health and Social Care","170","140","35130","36330"
"Leaver Dept.","2022","SEO/HEO","LGBO","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","LGBO","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Cabinet Office","50","40","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Department for Work and Pensions","60","60","35330","33330"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Department of Health and Social Care","710","270","36150","36330"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Home Office","40","40","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Ministry of Defence","60","60","38230","39020"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Ministry of Justice","50","50","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Cabinet Office","620","620","32270","32000"
"Leaver Dept.","2022","SEO/HEO","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Department for Business, Energy and Industrial Strategy","60","60","36940","36490"
"Leaver Dept.","2022","SEO/HEO","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Department for Education","50","50","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Department for Environment, Food and Rural Affairs","50","40","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Department for International Trade","40","40","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Department for Transport","60","60","36920","35240"
"Leaver Dept.","2022","SEO/HEO","Unknown","Department for Work and Pensions","100","100","35680","35310"
"Leaver Dept.","2022","SEO/HEO","Unknown","Department of Health and Social Care","370","340","38070","38330"
"Leaver Dept.","2022","SEO/HEO","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Foreign, Commonwealth and Development Office","150","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","HM Revenue and Customs","300","300","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Home Office","110","110","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Ministry of Defence","70","70","38100","37890"
"Leaver Dept.","2022","SEO/HEO","Unknown","Ministry of Justice","70","70","36880","36050"
"Leaver Dept.","2022","SEO/HEO","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","UK Statistics Authority","50","50","32480","30810"
"Leaver Dept.","2022","SEO/HEO","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Heterosexual / straight","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Heterosexual / straight","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Heterosexual / straight","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Heterosexual / straight","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Heterosexual / straight","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Heterosexual / straight","Ministry of Justice","110","100","[c]","[c]"
"Leaver Dept.","2022","Unknown","Heterosexual / straight","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","LGBO","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","LGBO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","LGBO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Undeclared","Department of Health and Social Care","60","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","HM Revenue and Customs","70","70","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Attorney General's Departments","220","210","20630","20120"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Cabinet Office","70","60","22130","20800"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","80","80","21520","20880"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Department for Environment, Food and Rural Affairs","200","190","21800","21050"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Department for Transport","190","180","21080","21590"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Department for Work and Pensions","4410","4350","21640","21010"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Department of Health and Social Care","340","300","20650","19630"
"New entrant CS","2021","AA/AO","Heterosexual / straight","ESTYN","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","HM Land Registry","250","240","22480","22350"
"New entrant CS","2021","AA/AO","Heterosexual / straight","HM Revenue and Customs","820","800","20360","20140"
"New entrant CS","2021","AA/AO","Heterosexual / straight","HM Treasury","30","30","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Home Office","160","160","21590","21430"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Ministry of Defence","1080","1050","21540","20920"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Ministry of Justice","2820","2780","22510","22680"
"New entrant CS","2021","AA/AO","Heterosexual / straight","National Crime Agency","60","60","21880","20800"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Scottish Government","320","300","20660","20060"
"New entrant CS","2021","AA/AO","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","United Kingdom Statistics Authority","90","70","19310","19130"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","Welsh Government","70","70","20590","20500"
"New entrant CS","2021","AA/AO","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Department for Work and Pensions","430","430","21450","21010"
"New entrant CS","2021","AA/AO","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","HM Land Registry","30","30","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","HM Revenue and Customs","100","100","20240","20140"
"New entrant CS","2021","AA/AO","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Ministry of Defence","70","70","21410","20920"
"New entrant CS","2021","AA/AO","LGBO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Ministry of Justice","290","280","22180","21500"
"New entrant CS","2021","AA/AO","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Scottish Government","40","40","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","LGBO","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Department for Work and Pensions","240","240","21590","21010"
"New entrant CS","2021","AA/AO","Undeclared","Department of Health and Social Care","70","50","20210","19630"
"New entrant CS","2021","AA/AO","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","HM Revenue and Customs","50","50","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Ministry of Defence","70","60","21360","20920"
"New entrant CS","2021","AA/AO","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Ministry of Justice","130","130","22130","20600"
"New entrant CS","2021","AA/AO","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Scottish Government","100","90","20820","20850"
"New entrant CS","2021","AA/AO","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Unknown","Attorney General's Departments","70","70","19960","20120"
"New entrant CS","2021","AA/AO","Unknown","Cabinet Office","80","80","20920","20800"
"New entrant CS","2021","AA/AO","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Unknown","Department for Business, Energy and Industrial Strategy","160","150","21290","20880"
"New entrant CS","2021","AA/AO","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Unknown","Department for Environment, Food and Rural Affairs","100","90","21860","21050"
"New entrant CS","2021","AA/AO","Unknown","Department for International Trade","50","50","[c]","[c]"
"New entrant CS","2021","AA/AO","Unknown","Department for Transport","260","240","22110","21590"
"New entrant CS","2021","AA/AO","Unknown","Department for Work and Pensions","490","480","21430","21010"
"New entrant CS","2021","AA/AO","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Unknown","HM Land Registry","260","250","22570","22350"
"New entrant CS","2021","AA/AO","Unknown","HM Revenue and Customs","2080","2020","20260","20140"
