"Status","Year","Parent_department","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","ESTYN","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","G6/G7","ESTYN","70","60","73880","74730"
"In post","2021","ESTYN","SCS","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","SEO/HEO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","EO","Food Standards Agency","440","420","27280","26750"
"In post","2021","Food Standards Agency","G6/G7","Food Standards Agency","220","220","56380","56130"
"In post","2021","Food Standards Agency","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","SEO/HEO","Food Standards Agency","620","610","36010","37350"
"In post","2021","Foreign, Commonwealth and Development Office","AA/AO","FCDO Services","130","130","24910","23280"
"In post","2021","Foreign, Commonwealth and Development Office","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","440","430","25810","25430"
"In post","2021","Foreign, Commonwealth and Development Office","AA/AO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","EO","FCDO Services","210","210","28300","26950"
"In post","2021","Foreign, Commonwealth and Development Office","EO","Foreign, Commonwealth and Development Office (excl. agencies)","730","710","29920","30300"
"In post","2021","Foreign, Commonwealth and Development Office","EO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","G6/G7","FCDO Services","220","200","62350","59300"
"In post","2021","Foreign, Commonwealth and Development Office","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","3040","2980","59380","58030"
"In post","2021","Foreign, Commonwealth and Development Office","G6/G7","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","SCS","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","SCS","Foreign, Commonwealth and Development Office (excl. agencies)","550","550","86110","78010"
"In post","2021","Foreign, Commonwealth and Development Office","SEO/HEO","FCDO Services","450","440","40430","40790"
"In post","2021","Foreign, Commonwealth and Development Office","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","2710","2670","37560","37500"
