"Status","Year","Responsibility_level","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","AA/AO","Office of Rail and Road","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Office of the Public Guardian","No function","40","40","[c]","[c]"
"Leaver CS","2022","AA/AO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Office of the Secretary of State for Wales","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Planning Inspectorate","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Planning Inspectorate","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Planning Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Public Health England","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Public Health England","No function","160","150","20650","19880"
"Leaver CS","2022","AA/AO","Registers of Scotland","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Revenue Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Rural Payments Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Rural Payments Agency","Grants Management","90","80","21180","21300"
"Leaver CS","2022","AA/AO","Scottish Courts and Tribunals Service","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Scottish Courts and Tribunals Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Scottish Courts and Tribunals Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Scottish Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Scottish Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Scottish Courts and Tribunals Service","No function","100","80","22390","22000"
"Leaver CS","2022","AA/AO","Scottish Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Scottish Forestry","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Scottish Government (excl. agencies)","Unknown","90","90","24750","23230"
"Leaver CS","2022","AA/AO","Scottish Prison Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Scottish Prison Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Scottish Prison Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Scottish Prison Service","No function","120","110","24280","24380"
"Leaver CS","2022","AA/AO","Scottish Prison Service","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Scottish Prison Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Scottish Public Pensions Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Serious Fraud Office","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Serious Fraud Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Serious Fraud Office","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Social Security Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Student Awards Agency for Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Teaching Regulation Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","The Insolvency Service","No function","40","40","[c]","[c]"
"Leaver CS","2022","AA/AO","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","The National Archives","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","The National Archives","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Transport Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","UK Export Finance","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","UK Health Security Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","UK Health Security Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","UK Health Security Agency","No function","100","90","21310","20990"
"Leaver CS","2022","AA/AO","UK Hydrographic Office","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","UK Hydrographic Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","UK Hydrographic Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","UK Hydrographic Office","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","UK Statistics Authority","Analysis","50","50","19980","19610"
"Leaver CS","2022","AA/AO","UK Statistics Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","UK Statistics Authority","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","UK Statistics Authority","No function","210","130","19830","19610"
"Leaver CS","2022","AA/AO","UK Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Valuation Office Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Valuation Office Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Valuation Office Agency","Property","130","120","21640","22010"
"Leaver CS","2022","AA/AO","Vehicle Certification Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Water Services Regulation Authority","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Welsh Government (excl. agencies)","Unknown","60","50","23140","23830"
"Leaver CS","2022","AA/AO","Welsh Revenue Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Wilton Park","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Advisory, Conciliation and Arbitration Service","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Animal and Plant Health Agency","No function","70","60","25600","25100"
"Leaver CS","2022","EO","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Cabinet Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Cabinet Office (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Cabinet Office (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Cabinet Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Cabinet Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Cabinet Office (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Cabinet Office (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Centre for Environment, Fisheries and Aquaculture Science","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Charity Commission","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Charity Commission","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Companies House","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Companies House","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Companies House","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Companies House","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Companies House","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Competition and Markets Authority","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Criminal Injuries Compensation Authority","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Crown Commercial Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Crown Commercial Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Crown Commercial Service","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Crown Office and Procurator Fiscal Service","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Crown Office and Procurator Fiscal Service","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Crown Prosecution Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Crown Prosecution Service","Legal","40","40","[c]","[c]"
"Leaver CS","2022","EO","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Defence Equipment and Support","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Defence Equipment and Support","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Defence Equipment and Support","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Defence Equipment and Support","No function","110","100","20830","20200"
"Leaver CS","2022","EO","Defence Equipment and Support","Project Delivery","180","170","22190","21620"
"Leaver CS","2022","EO","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Defence Equipment and Support","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Defence Science and Technology Laboratory","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Defence Science and Technology Laboratory","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Digital, Culture, Media and Sport","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Education (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Education (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Education (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Education (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Education (excl. agencies)","No function","40","40","[c]","[c]"
"Leaver CS","2022","EO","Department for Education (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","30","30","[c]","[c]"
"Leaver CS","2022","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for International Trade","No function","40","40","[c]","[c]"
"Leaver CS","2022","EO","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Levelling Up, Housing and Communities (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Levelling Up, Housing and Communities (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Levelling Up, Housing and Communities (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Transport (excl. agencies)","No function","30","30","[c]","[c]"
"Leaver CS","2022","EO","Department for Work and Pensions (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Work and Pensions (excl. agencies)","Counter Fraud","130","100","27920","27570"
"Leaver CS","2022","EO","Department for Work and Pensions (excl. agencies)","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Work and Pensions (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Work and Pensions (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Work and Pensions (excl. agencies)","Human Resources","50","50","27920","27570"
"Leaver CS","2022","EO","Department for Work and Pensions (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Work and Pensions (excl. agencies)","No function","3670","3240","28320","27570"
"Leaver CS","2022","EO","Department for Work and Pensions (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Work and Pensions (excl. agencies)","Unknown","560","520","27840","27570"
"Leaver CS","2022","EO","Department of Health and Social Care (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department of Health and Social Care (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department of Health and Social Care (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department of Health and Social Care (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department of Health and Social Care (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department of Health and Social Care (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department of Health and Social Care (excl. agencies)","No function","40","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Driver and Vehicle Licensing Agency","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Driver and Vehicle Licensing Agency","Commercial","[c]","[c]","[c]","[c]"
