"Status","Year","Ethnicity","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","SEO/HEO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Scottish Prison Service","250","210","41200","39500"
"In post","2021","Unknown","SEO/HEO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Serious Fraud Office","50","50","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Social Security Scotland","50","50","35910","35110"
"In post","2021","Unknown","SEO/HEO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","The National Archives","60","60","35460","34770"
"In post","2021","Unknown","SEO/HEO","Transport Scotland","60","60","41570","42190"
"In post","2021","Unknown","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","UK Hydrographic Office","110","110","37370","34700"
"In post","2021","Unknown","SEO/HEO","UK Intellectual Property Office","110","110","39410","40640"
"In post","2021","Unknown","SEO/HEO","United Kingdom Statistics Authority","440","430","32940","32140"
"In post","2021","Unknown","SEO/HEO","Valuation Office Agency","250","230","37730","36150"
"In post","2021","Unknown","SEO/HEO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","HM Prison and Probation Service","1080","960","27300","24800"
"In post","2021","Unknown","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Ministry of Defence (excl. agencies)","50","50","36240","35680"
"In post","2021","Unknown","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Royal Fleet Auxiliary","1830","1830","37620","34460"
"In post","2021","Unknown","Unknown","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Submarine Delivery Agency","120","120","38550","32790"
"In post","2021","White","AA/AO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Advisory, Conciliation and Arbitration Service","30","30","[c]","[c]"
"In post","2021","White","AA/AO","Animal and Plant Health Agency","650","610","21800","21050"
"In post","2021","White","AA/AO","Cabinet Office (excl. agencies)","310","290","21770","20920"
"In post","2021","White","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","50","50","20590","21050"
"In post","2021","White","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Companies House","340","290","21880","22490"
"In post","2021","White","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Criminal Injuries Compensation Authority","80","70","20430","20650"
"In post","2021","White","AA/AO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Crown Office and Procurator Fiscal Service","670","590","21920","22220"
"In post","2021","White","AA/AO","Crown Prosecution Service","970","890","22150","21950"
"In post","2021","White","AA/AO","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Defence Electronics and Components Agency","80","70","20110","21000"
"In post","2021","White","AA/AO","Defence Science and Technology Laboratory","90","90","18810","17710"
"In post","2021","White","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","40","40","[c]","[c]"
"In post","2021","White","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Department for Education (excl. agencies)","50","40","[c]","[c]"
"In post","2021","White","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","100","80","22280","21050"
"In post","2021","White","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Department for Transport (excl. agencies)","60","50","27040","25730"
"In post","2021","White","AA/AO","Department for Work and Pensions (excl. agencies)","21970","18780","21030","21010"
"In post","2021","White","AA/AO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Disclosure Scotland","110","110","21950","22230"
"In post","2021","White","AA/AO","Driver and Vehicle Licensing Agency","3370","2820","20630","21590"
"In post","2021","White","AA/AO","Driver and Vehicle Standards Agency","690","630","24350","21590"
"In post","2021","White","AA/AO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","FCDO Services","110","110","24520","23280"
"In post","2021","White","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","260","250","25670","24750"
"In post","2021","White","AA/AO","Forestry and Land Scotland","420","400","24970","25140"
"In post","2021","White","AA/AO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Health and Safety Executive","210","180","21890","22160"
"In post","2021","White","AA/AO","HM Courts and Tribunals Service","6780","5830","19690","19930"
"In post","2021","White","AA/AO","HM Land Registry","1050","990","22420","22350"
"In post","2021","White","AA/AO","HM Prison and Probation Service","21220","19900","26290","25450"
"In post","2021","White","AA/AO","HM Revenue and Customs (excl. agencies)","11230","9490","20770","20140"
"In post","2021","White","AA/AO","HM Treasury (excl. agencies)","40","30","[c]","[c]"
"In post","2021","White","AA/AO","Home Office (incl. agencies)","5650","4990","21480","21430"
"In post","2021","White","AA/AO","Insolvency Service","230","210","21110","20880"
"In post","2021","White","AA/AO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Legal Aid Agency","280","260","19740","19930"
"In post","2021","White","AA/AO","Maritime and Coastguard Agency","190","180","24340","26590"
"In post","2021","White","AA/AO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Met Office","70","70","23410","21630"
"In post","2021","White","AA/AO","Ministry of Defence (excl. agencies)","12770","12250","22650","20920"
"In post","2021","White","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","40","30","[c]","[c]"
"In post","2021","White","AA/AO","Ministry of Justice (excl. agencies)","140","130","21050","20280"
"In post","2021","White","AA/AO","National Crime Agency","220","200","23640","22760"
"In post","2021","White","AA/AO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","National Records of Scotland","120","110","22590","22230"
"In post","2021","White","AA/AO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Office for Standards in Education, Children's Services and Skills","190","170","21260","21160"
"In post","2021","White","AA/AO","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","White","AA/AO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Office of the Public Guardian","270","240","19510","19930"
"In post","2021","White","AA/AO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Planning Inspectorate","130","110","21720","22560"
"In post","2021","White","AA/AO","Public Health England","600","540","20870","19950"
"In post","2021","White","AA/AO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Registers of Scotland","270","260","23990","24130"
"In post","2021","White","AA/AO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Rural Payments Agency","480","410","21010","21050"
"In post","2021","White","AA/AO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Scottish Courts and Tribunals Service","50","40","[c]","[c]"
"In post","2021","White","AA/AO","Scottish Forestry","50","40","[c]","[c]"
"In post","2021","White","AA/AO","Scottish Government (excl. agencies)","640","600","23720","23340"
"In post","2021","White","AA/AO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Scottish Prison Service","420","400","24600","25870"
"In post","2021","White","AA/AO","Scottish Public Pensions Agency","100","90","24040","24110"
"In post","2021","White","AA/AO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Social Security Scotland","290","270","21230","20060"
"In post","2021","White","AA/AO","Student Awards Agency for Scotland","30","30","[c]","[c]"
"In post","2021","White","AA/AO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","The National Archives","40","40","[c]","[c]"
"In post","2021","White","AA/AO","Transport Scotland","40","40","[c]","[c]"
"In post","2021","White","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","UK Hydrographic Office","60","50","20360","20170"
"In post","2021","White","AA/AO","UK Intellectual Property Office","120","110","20790","21140"
"In post","2021","White","AA/AO","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","United Kingdom Statistics Authority","990","680","19470","19520"
"In post","2021","White","AA/AO","Valuation Office Agency","440","390","21150","21100"
"In post","2021","White","AA/AO","Vehicle Certification Agency","40","40","[c]","[c]"
"In post","2021","White","AA/AO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Welsh Government (excl. agencies)","860","780","23440","23830"
"In post","2021","White","AA/AO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","White","AA/AO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","White","EO","Accountant in Bankruptcy","40","30","[c]","[c]"
"In post","2021","White","EO","Advisory, Conciliation and Arbitration Service","170","160","25270","24330"
"In post","2021","White","EO","Animal and Plant Health Agency","620","580","26500","25670"
"In post","2021","White","EO","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","White","EO","Cabinet Office (excl. agencies)","500","490","26970","27500"
"In post","2021","White","EO","Centre for Environment, Fisheries and Aquaculture Science","110","100","25090","24920"
"In post","2021","White","EO","Charity Commission","80","70","24830","24440"
"In post","2021","White","EO","Companies House","230","210","27790","27460"
"In post","2021","White","EO","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","White","EO","Criminal Injuries Compensation Authority","60","60","23360","22710"
"In post","2021","White","EO","Crown Commercial Service","80","70","23710","22640"
"In post","2021","White","EO","Crown Office and Procurator Fiscal Service","290","280","27390","26570"
"In post","2021","White","EO","Crown Prosecution Service","930","850","27870","28430"
"In post","2021","White","EO","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","White","EO","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","White","EO","Defence Electronics and Components Agency","240","230","28060","28750"
"In post","2021","White","EO","Defence Equipment and Support","2090","2000","22320","21380"
"In post","2021","White","EO","Defence Science and Technology Laboratory","190","180","23060","22780"
"In post","2021","White","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","220","210","28060","27680"
"In post","2021","White","EO","Department for Digital, Culture, Media and Sport","100","100","27570","26180"
"In post","2021","White","EO","Department for Education (excl. agencies)","420","400","26610","26000"
"In post","2021","White","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","310","300","26350","25190"
"In post","2021","White","EO","Department for International Trade","90","90","27250","26510"
"In post","2021","White","EO","Department for Transport (excl. agencies)","180","170","28410","29970"
"In post","2021","White","EO","Department for Work and Pensions (excl. agencies)","34730","31080","27810","27570"
"In post","2021","White","EO","Department of Health and Social Care (excl. agencies)","110","110","26790","27270"
"In post","2021","White","EO","Disclosure Scotland","40","30","[c]","[c]"
"In post","2021","White","EO","Driver and Vehicle Licensing Agency","780","730","26710","26700"
"In post","2021","White","EO","Driver and Vehicle Standards Agency","1740","1600","28310","26780"
"In post","2021","White","EO","Education and Skills Funding Agency","100","100","25730","26000"
"In post","2021","White","EO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","White","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","White","EO","FCDO Services","160","150","28270","26950"
"In post","2021","White","EO","Food Standards Agency","370","360","27200","26750"
"In post","2021","White","EO","Food Standards Scotland","50","50","[c]","[c]"
"In post","2021","White","EO","Foreign, Commonwealth and Development Office (excl. agencies)","440","420","29910","29850"
"In post","2021","White","EO","Forestry and Land Scotland","240","230","31520","30160"
"In post","2021","White","EO","Government Actuary's Department","[c]","[c]","[c]","[c]"
