"Status","Year","Sex","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Male","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other Cabinet Office Agencies","EO","60","60","24180","23540"
"In post","2021","Male","Other Cabinet Office Agencies","G6/G7","150","140","55310","55000"
"In post","2021","Male","Other Cabinet Office Agencies","SCS","30","30","[c]","[c]"
"In post","2021","Male","Other Cabinet Office Agencies","SEO/HEO","250","250","34010","34800"
"In post","2021","Male","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Scotland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Male","Scotland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Scotland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Scottish Government","AA/AO","2770","2670","23550","22820"
"In post","2021","Male","Scottish Government","EO","2970","2840","31090","30930"
"In post","2021","Male","Scottish Government","G6/G7","1460","1430","62980","61010"
"In post","2021","Male","Scottish Government","SCS","150","140","88970","83230"
"In post","2021","Male","Scottish Government","SEO/HEO","3330","3200","39850","39500"
"In post","2021","Male","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","The National Archives","AA/AO","60","50","21000","20650"
"In post","2021","Male","The National Archives","EO","30","30","[c]","[c]"
"In post","2021","Male","The National Archives","G6/G7","40","40","[c]","[c]"
"In post","2021","Male","The National Archives","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","The National Archives","SEO/HEO","120","120","37650","36000"
"In post","2021","Male","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Male","UK Export Finance","G6/G7","90","90","67720","67880"
"In post","2021","Male","UK Export Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","UK Export Finance","SEO/HEO","120","110","43150","43700"
"In post","2021","Male","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2021","Male","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Male","UK Supreme Court","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Male","United Kingdom Statistics Authority","AA/AO","630","450","19760","19520"
"In post","2021","Male","United Kingdom Statistics Authority","EO","260","260","24070","23050"
"In post","2021","Male","United Kingdom Statistics Authority","G6/G7","470","470","53520","51640"
"In post","2021","Male","United Kingdom Statistics Authority","SCS","50","50","86380","76660"
"In post","2021","Male","United Kingdom Statistics Authority","SEO/HEO","970","960","33670","33150"
"In post","2021","Male","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Wales Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Male","Wales Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Water Services Regulation Authority","G6/G7","40","30","[c]","[c]"
"In post","2021","Male","Water Services Regulation Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Water Services Regulation Authority","SEO/HEO","70","70","48420","47260"
"In post","2021","Male","Welsh Government","AA/AO","350","340","23370","23830"
"In post","2021","Male","Welsh Government","EO","440","430","28670","28850"
"In post","2021","Male","Welsh Government","G6/G7","500","490","62460","60830"
"In post","2021","Male","Welsh Government","SCS","100","100","92160","82210"
"In post","2021","Male","Welsh Government","SEO/HEO","970","940","41120","37410"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Female","Attorney General's Departments","AA/AO","1110","1000","22720","22200"
"In post","2022","Female","Attorney General's Departments","EO","1360","1250","27790","27580"
"In post","2022","Female","Attorney General's Departments","G6/G7","3140","2820","57490","55610"
"In post","2022","Female","Attorney General's Departments","SCS","190","180","86970","82060"
"In post","2022","Female","Attorney General's Departments","SEO/HEO","890","850","36220","36240"
"In post","2022","Female","Cabinet Office","AA/AO","290","260","21780","21050"
"In post","2022","Female","Cabinet Office","EO","640","610","26550","26670"
"In post","2022","Female","Cabinet Office","G6/G7","2000","1950","59280","56160"
"In post","2022","Female","Cabinet Office","SCS","320","310","94260","85060"
"In post","2022","Female","Cabinet Office","SEO/HEO","2650","2600","33890","33110"
"In post","2022","Female","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Chancellor's other departments","G6/G7","80","70","72800","69690"
"In post","2022","Female","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Female","Chancellor's other departments","SEO/HEO","70","70","42150","42500"
"In post","2022","Female","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Charity Commission","EO","70","70","25080","24440"
"In post","2022","Female","Charity Commission","G6/G7","50","50","[c]","[c]"
"In post","2022","Female","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Female","Charity Commission","SEO/HEO","140","130","32310","29300"
"In post","2022","Female","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Competition and Markets Authority","EO","40","30","[c]","[c]"
"In post","2022","Female","Competition and Markets Authority","G6/G7","220","200","65550","62890"
"In post","2022","Female","Competition and Markets Authority","SCS","50","50","104770","99060"
"In post","2022","Female","Competition and Markets Authority","SEO/HEO","110","110","37420","35340"
"In post","2022","Female","Department for Business, Energy and Industrial Strategy","AA/AO","950","840","21620","21130"
"In post","2022","Female","Department for Business, Energy and Industrial Strategy","EO","1110","1030","26240","25630"
"In post","2022","Female","Department for Business, Energy and Industrial Strategy","G6/G7","1780","1700","57030","55000"
"In post","2022","Female","Department for Business, Energy and Industrial Strategy","SCS","180","170","86960","79620"
"In post","2022","Female","Department for Business, Energy and Industrial Strategy","SEO/HEO","3000","2850","37140","36930"
"In post","2022","Female","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Department for Digital, Culture, Media and Sport","EO","120","120","26910","26180"
"In post","2022","Female","Department for Digital, Culture, Media and Sport","G6/G7","480","460","56150","53380"
"In post","2022","Female","Department for Digital, Culture, Media and Sport","SCS","70","60","83490","75250"
"In post","2022","Female","Department for Digital, Culture, Media and Sport","SEO/HEO","430","420","35430","34020"
"In post","2022","Female","Department for Education","AA/AO","90","80","21960","21250"
"In post","2022","Female","Department for Education","EO","590","570","26270","25000"
"In post","2022","Female","Department for Education","G6/G7","1840","1740","55550","53420"
"In post","2022","Female","Department for Education","SCS","170","160","81420","74100"
"In post","2022","Female","Department for Education","SEO/HEO","2480","2350","35440","36500"
"In post","2022","Female","Department for Environment, Food and Rural Affairs","AA/AO","1480","1310","21720","21300"
"In post","2022","Female","Department for Environment, Food and Rural Affairs","EO","1380","1270","26070","25190"
"In post","2022","Female","Department for Environment, Food and Rural Affairs","G6/G7","1360","1290","54000","52290"
"In post","2022","Female","Department for Environment, Food and Rural Affairs","SCS","100","100","83430","76080"
"In post","2022","Female","Department for Environment, Food and Rural Affairs","SEO/HEO","2880","2720","34870","35900"
"In post","2022","Female","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Department for International Trade","EO","160","150","27370","26510"
"In post","2022","Female","Department for International Trade","G6/G7","540","530","55840","51970"
"In post","2022","Female","Department for International Trade","SCS","80","80","82110","75570"
"In post","2022","Female","Department for International Trade","SEO/HEO","590","590","36070","35560"
"In post","2022","Female","Department for Levelling Up, Housing and Communities","AA/AO","130","110","22280","22560"
"In post","2022","Female","Department for Levelling Up, Housing and Communities","EO","230","220","27610","27850"
"In post","2022","Female","Department for Levelling Up, Housing and Communities","G6/G7","840","790","56180","53380"
"In post","2022","Female","Department for Levelling Up, Housing and Communities","SCS","100","90","84090","76160"
"In post","2022","Female","Department for Levelling Up, Housing and Communities","SEO/HEO","830","810","35720","34860"
"In post","2022","Female","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Department for Transport","AA/AO","3340","2720","21130","21840"
"In post","2022","Female","Department for Transport","EO","1590","1460","27260","26780"
"In post","2022","Female","Department for Transport","G6/G7","790","760","58320","54760"
"In post","2022","Female","Department for Transport","SCS","120","110","84560","78000"
"In post","2022","Female","Department for Transport","SEO/HEO","1650","1590","36560","35060"
"In post","2022","Female","Department for Work and Pensions","AA/AO","19550","15980","21410","21260"
"In post","2022","Female","Department for Work and Pensions","EO","31910","27920","28100","27570"
"In post","2022","Female","Department for Work and Pensions","G6/G7","1890","1790","55510","53430"
"In post","2022","Female","Department for Work and Pensions","SCS","160","150","85250","78180"
"In post","2022","Female","Department for Work and Pensions","SEO/HEO","6910","6380","35210","34290"
"In post","2022","Female","Department of Health and Social Care","AA/AO","590","500","21670","21820"
"In post","2022","Female","Department of Health and Social Care","EO","1110","1040","26530","26880"
"In post","2022","Female","Department of Health and Social Care","G6/G7","2330","2210","57730","53830"
"In post","2022","Female","Department of Health and Social Care","SCS","450","410","94960","91310"
"In post","2022","Female","Department of Health and Social Care","SEO/HEO","3180","2990","36190","36330"
"In post","2022","Female","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Estyn","G6/G7","40","30","[c]","[c]"
"In post","2022","Female","Estyn","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Female","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Food Standards Agency","EO","90","90","26820","26750"
"In post","2022","Female","Food Standards Agency","G6/G7","130","120","55730","55300"
"In post","2022","Female","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Female","Food Standards Agency","SEO/HEO","410","390","35470","37350"
"In post","2022","Female","Foreign, Commonwealth and Development Office","AA/AO","280","270","25550","25000"
