"Status","Year","Parent_department","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Ministry of Defence","Unknown","Operational Delivery","300","280","31960","28960"
"In post","2021","Ministry of Defence","Unknown","Operational Research","50","50","42440","46080"
"In post","2021","Ministry of Defence","Unknown","Other","3730","3660","33010","30780"
"In post","2021","Ministry of Defence","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence","Unknown","Policy","180","180","42090","41500"
"In post","2021","Ministry of Defence","Unknown","Project Delivery","820","800","40890","39980"
"In post","2021","Ministry of Defence","Unknown","Property","370","360","26600","18800"
"In post","2021","Ministry of Defence","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence","Unknown","Science and Engineering","1190","1150","35770","33300"
"In post","2021","Ministry of Defence","Unknown","Security","1510","1490","29840","26670"
"In post","2021","Ministry of Defence","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence","Unknown","Unknown","230","230","36960","33630"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Operational Delivery","80","80","31240","28530"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Policy","140","140","45440","39600"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Communications","80","70","43210","39600"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Digital, Data and Technology","90","90","46390","41610"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Economics","60","60","44220","35060"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Finance","110","100","51400","53130"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Human Resources","70","70","43280","40000"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Operational Delivery","590","560","35410","32530"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Planning","100","100","48170","42980"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Planning Inspectors","250","220","58270","58810"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Policy","920","900","49280","53130"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Project Delivery","90","80","46510","48200"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Statistics","90","80","47950","43400"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Policy","70","70","46180","46120"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Operational Delivery","90","80","32620","26050"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Planning Inspectors","60","60","56520","58810"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Policy","140","130","47540","42340"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice","Declared disabled","Commercial","110","110","44770","44760"
"In post","2021","Ministry of Justice","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice","Declared disabled","Digital, Data and Technology","90","90","43060","40480"
"In post","2021","Ministry of Justice","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice","Declared disabled","Finance","90","90","39250","33930"
"In post","2021","Ministry of Justice","Declared disabled","Human Resources","150","140","42790","40460"
"In post","2021","Ministry of Justice","Declared disabled","Intelligence Analysis","50","50","30200","28080"
"In post","2021","Ministry of Justice","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice","Declared disabled","Legal","130","110","43270","43160"
"In post","2021","Ministry of Justice","Declared disabled","Operational Delivery","7890","7310","27950","25790"
"In post","2021","Ministry of Justice","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice","Declared disabled","Policy","140","140","38440","34370"
"In post","2021","Ministry of Justice","Declared disabled","Project Delivery","60","50","40810","36800"
"In post","2021","Ministry of Justice","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice","Declared disabled","Psychology","110","110","32080","29750"
"In post","2021","Ministry of Justice","Declared disabled","Security","60","60","35510","32690"
"In post","2021","Ministry of Justice","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice","Declared non-disabled","Commercial","650","640","46810","43950"
"In post","2021","Ministry of Justice","Declared non-disabled","Communications","120","110","43540","39080"
"In post","2021","Ministry of Justice","Declared non-disabled","Digital, Data and Technology","680","670","45370","42320"
"In post","2021","Ministry of Justice","Declared non-disabled","Economics","30","30","[c]","[c]"
"In post","2021","Ministry of Justice","Declared non-disabled","Finance","580","550","42480","38820"
"In post","2021","Ministry of Justice","Declared non-disabled","Human Resources","620","600","41740","37170"
