"Status","Year","Function_of_post","Parent_department","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Property","Attorney General's Departments","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Property","Cabinet Office","Cabinet Office (excl. agencies)","110","110","49750","49700"
"In post","2022","Property","Cabinet Office","Government Property Agency","310","310","50830","49700"
"In post","2022","Property","Chancellor's other departments","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Property","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Property","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Business, Energy and Industrial Strategy","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Business, Energy and Industrial Strategy","Intellectual Property Office","30","30","[c]","[c]"
"In post","2022","Property","Department for Business, Energy and Industrial Strategy","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Education","Department for Education (excl. agencies)","570","560","51080","50630"
"In post","2022","Property","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","410","390","38880","35900"
"In post","2022","Property","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Levelling Up, Housing and Communities","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Transport","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Transport","Driver and Vehicle Licensing Agency","70","60","30770","30730"
"In post","2022","Property","Department for Transport","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2022","Property","Department for Transport","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Transport","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","190","180","43660","38500"
"In post","2022","Property","Department for Work and Pensions","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Property","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department of Health and Social Care","UK Health Security Agency","30","30","[c]","[c]"
"In post","2022","Property","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Property","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Property","Foreign, Commonwealth and Development Office","FCDO Services","350","350","40090","38990"
"In post","2022","Property","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","80","70","54240","52570"
"In post","2022","Property","Foreign, Commonwealth and Development Office","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Property","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Property","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","250","240","41640","40180"
"In post","2022","Property","HM Revenue and Customs","Valuation Office Agency","3490","3260","34070","30620"
"In post","2022","Property","HM Treasury","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Property","Ministry of Defence","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Property","Ministry of Defence","Defence Equipment and Support","310","300","27050","23160"
"In post","2022","Property","Ministry of Defence","Defence Science and Technology Laboratory","40","40","[c]","[c]"
"In post","2022","Property","Ministry of Defence","Ministry of Defence (excl. agencies)","2090","2030","31660","33000"
"In post","2022","Property","Ministry of Defence","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Property","Ministry of Defence","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Property","Ministry of Justice","HM Courts and Tribunals Service","130","130","41180","36050"
"In post","2022","Property","Ministry of Justice","Ministry of Justice (excl. agencies)","430","420","43370","41750"
"In post","2022","Property","National Crime Agency","National Crime Agency","30","30","[c]","[c]"
"In post","2022","Property","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Property","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Property","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Property","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Property","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Property","Scottish Government","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Property","Scottish Government","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Property","Scottish Government","Scottish Prison Service","250","240","31870","29900"
"In post","2022","Property","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Property","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Property","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Property","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Security","Attorney General's Departments","Crown Prosecution Service","50","50","34060","30830"
"In post","2022","Security","Attorney General's Departments","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Security","Cabinet Office","Cabinet Office (excl. agencies)","990","950","33900","33000"
"In post","2022","Security","Chancellor's other departments","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Security","Chancellor's other departments","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Security","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Security","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Security","Department for Business, Energy and Industrial Strategy","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Security","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Security","Department for Business, Energy and Industrial Strategy","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Security","Department for Business, Energy and Industrial Strategy","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Security","Department for Business, Energy and Industrial Strategy","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Security","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Security","Department for Education","Department for Education (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Security","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Security","Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Security","Department for Levelling Up, Housing and Communities","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Security","Department for Transport","Department for Transport (excl. agencies)","140","130","44950","42890"
"In post","2022","Security","Department for Transport","Driver and Vehicle Licensing Agency","70","60","25290","24720"
"In post","2022","Security","Department for Transport","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2022","Security","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","130","120","31110","30300"
"In post","2022","Security","Department for Work and Pensions","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Security","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Security","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Security","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Security","Foreign, Commonwealth and Development Office","FCDO Services","280","270","34640","33390"
"In post","2022","Security","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","340","330","43740","37560"
