"Status","Year","Organisation","Sexual_orientation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Crown Prosecution Service","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","London","70","70","45760","50520"
"In post","2021","Crown Prosecution Service","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","East Midlands (England)","100","90","38410","34480"
"In post","2021","Crown Prosecution Service","Unknown","East of England","100","90","43520","37120"
"In post","2021","Crown Prosecution Service","Unknown","London","330","310","43600","35020"
"In post","2021","Crown Prosecution Service","Unknown","North East (England)","80","70","38190","28430"
"In post","2021","Crown Prosecution Service","Unknown","North West (England)","200","180","41340","34480"
"In post","2021","Crown Prosecution Service","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","South East (England)","170","150","44740","40000"
"In post","2021","Crown Prosecution Service","Unknown","South West (England)","50","50","45600","53050"
"In post","2021","Crown Prosecution Service","Unknown","Wales","80","70","43310","51470"
"In post","2021","Crown Prosecution Service","Unknown","West Midlands (England)","150","140","41420","38760"
"In post","2021","Crown Prosecution Service","Unknown","Yorkshire and The Humber","250","210","44280","51470"
"In post","2021","Crown Prosecution Service Inspectorate","Heterosexual / straight","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Heterosexual / straight","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","LGBO","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","London","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","LGBO","London","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Unknown","London","110","110","58680","51550"
"In post","2021","Defence Electronics and Components Agency","Heterosexual / straight","Wales","120","120","29540","27460"
"In post","2021","Defence Electronics and Components Agency","Heterosexual / straight","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","LGBO","Wales","[c]","[c]","[c]","[c]"
