"Status","Year","Sexual_orientation","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Heterosexual / straight","London","National Crime Agency","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Public Health England","230","210","41470","33260"
"Leaver CS","2021","Heterosexual / straight","London","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Department for Work and Pensions (excl. agencies)","280","240","25560","21010"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","HM Courts and Tribunals Service","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","HM Prison and Probation Service","120","110","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Home Office (incl. agencies)","50","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North East (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Department for Work and Pensions (excl. agencies)","440","380","26200","21010"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","HM Courts and Tribunals Service","100","80","22450","20260"
"Leaver CS","2021","Heterosexual / straight","North West (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","HM Prison and Probation Service","250","220","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Home Office (incl. agencies)","180","150","24630","24110"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Ministry of Defence (excl. agencies)","60","50","27960","21580"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Public Health England","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","North West (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Northern Ireland","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Northern Ireland","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Northern Ireland","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Northern Ireland","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Northern Ireland","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Northern Ireland","Ministry of Defence (excl. agencies)","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Northern Ireland","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Northern Ireland","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Overseas","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Overseas","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Overseas","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Overseas","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Overseas","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Overseas","Ministry of Defence (excl. agencies)","50","50","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Overseas","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Overseas","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Scotland","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Scotland","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Scotland","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Scotland","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Scotland","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Scotland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Scotland","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
