"Status","Year","Sex","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Finance","HM Revenue and Customs (excl. agencies)","940","780","31170","25560"
"In post","2021","Female","Finance","HM Treasury (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","Finance","Home Office (incl. agencies)","140","130","44050","41570"
"In post","2021","Female","Finance","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Legal Aid Agency","40","30","[c]","[c]"
"In post","2021","Female","Finance","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Ministry of Defence (excl. agencies)","960","910","35840","33280"
"In post","2021","Female","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","70","60","52150","53130"
"In post","2021","Female","Finance","Ministry of Justice (excl. agencies)","270","270","41830","38990"
"In post","2021","Female","Finance","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Female","Finance","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Public Health England","80","80","38620","33710"
"In post","2021","Female","Finance","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Scottish Prison Service","60","50","32480","25870"
"In post","2021","Female","Finance","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Submarine Delivery Agency","70","70","40470","39860"
"In post","2021","Female","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","United Kingdom Statistics Authority","40","30","[c]","[c]"
"In post","2021","Female","Finance","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Welsh Government (excl. agencies)","190","180","40690","37410"
"In post","2021","Female","Finance","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Companies House","60","60","33220","30530"
"In post","2021","Female","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Crown Prosecution Service","110","110","41450","38180"
"In post","2021","Female","Human Resources","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Defence Equipment and Support","150","140","36740","32650"
"In post","2021","Female","Human Resources","Defence Science and Technology Laboratory","70","60","34950","28660"
"In post","2021","Female","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","100","90","47030","45970"
"In post","2021","Female","Human Resources","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","Department for Education (excl. agencies)","110","100","34030","29500"
"In post","2021","Female","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","200","180","42910","38710"
"In post","2021","Female","Human Resources","Department for International Trade","90","80","43970","38540"
"In post","2021","Female","Human Resources","Department for Transport (excl. agencies)","80","70","49540","48770"
"In post","2021","Female","Human Resources","Department of Health and Social Care (excl. agencies)","100","100","40610","32790"
"In post","2021","Female","Human Resources","Driver and Vehicle Licensing Agency","140","120","32290","31380"
"In post","2021","Female","Human Resources","Driver and Vehicle Standards Agency","50","50","36470","33350"
"In post","2021","Female","Human Resources","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","FCDO Services","30","30","[c]","[c]"
"In post","2021","Female","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","160","150","44080","38780"
"In post","2021","Female","Human Resources","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Government Legal Department","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Health and Safety Executive","30","30","[c]","[c]"
"In post","2021","Female","Human Resources","HM Courts and Tribunals Service","80","80","36640","30990"
"In post","2021","Female","Human Resources","HM Land Registry","70","60","38040","33840"
"In post","2021","Female","Human Resources","HM Prison and Probation Service","70","70","45610","44760"
"In post","2021","Female","Human Resources","HM Revenue and Customs (excl. agencies)","440","400","41880","38630"
"In post","2021","Female","Human Resources","HM Treasury (excl. agencies)","60","60","44260","40520"
"In post","2021","Female","Human Resources","Home Office (incl. agencies)","350","330","43190","37450"
"In post","2021","Female","Human Resources","Insolvency Service","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Met Office","50","40","[c]","[c]"
"In post","2021","Female","Human Resources","Ministry of Defence (excl. agencies)","1160","1070","29920","26670"
"In post","2021","Female","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","50","50","41220","33620"
"In post","2021","Female","Human Resources","Ministry of Justice (excl. agencies)","470","460","41770","37380"
"In post","2021","Female","Human Resources","National Crime Agency","110","100","40250","40060"
"In post","2021","Female","Human Resources","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Public Health England","100","100","43520","38200"
"In post","2021","Female","Human Resources","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Registers of Scotland","30","30","[c]","[c]"
"In post","2021","Female","Human Resources","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Scottish Prison Service","80","70","32380","30930"
"In post","2021","Female","Human Resources","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","UK Intellectual Property Office","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","United Kingdom Statistics Authority","130","110","36940","31090"
"In post","2021","Female","Human Resources","Valuation Office Agency","60","50","39370","33250"
"In post","2021","Female","Human Resources","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Welsh Government (excl. agencies)","150","140","35110","29250"
"In post","2021","Female","Human Resources","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Female","Inspector of Education and Training","ESTYN","30","30","[c]","[c]"
"In post","2021","Female","Inspector of Education and Training","Office for Standards in Education, Children's Services and Skills","570","560","62970","51360"
"In post","2021","Female","Intelligence Analysis","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Charity Commission","[c]","[c]","[c]","[c]"
