"Status","Year","Disability","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","Legal","70","60","44220","43530"
"In post","2021","Declared disabled","Scottish Government","No function","500","460","32180","33650"
"In post","2021","Declared disabled","Scottish Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","Property","50","40","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","Unknown","1030","990","37620","33050"
"In post","2021","Declared disabled","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Analysis","150","140","36730","36030"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","No function","260","210","25360","22590"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","Unknown","320","300","38660","37410"
"In post","2021","Declared non-disabled","Attorney General's Departments","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Attorney General's Departments","Communications","70","60","44550","39750"
"In post","2021","Declared non-disabled","Attorney General's Departments","Counter Fraud","160","160","45370","40000"
"In post","2021","Declared non-disabled","Attorney General's Departments","Digital, Data & Technology","130","120","41200","38180"
"In post","2021","Declared non-disabled","Attorney General's Departments","Finance","120","110","37120","31560"
"In post","2021","Declared non-disabled","Attorney General's Departments","Human Resources","150","140","39450","34160"
"In post","2021","Declared non-disabled","Attorney General's Departments","Legal","5980","5520","46420","50520"
"In post","2021","Declared non-disabled","Attorney General's Departments","No function","60","60","42720","40000"
