"Status","Year","Age","Region_ITL1","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","20-29","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Overseas","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Overseas","White","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Scotland","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Scotland","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Scotland","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Scotland","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Scotland","Unknown","680","660","23730","20810"
"New entrant CS","2021","20-29","Scotland","White","820","810","24560","23340"
"New entrant CS","2021","20-29","South East (England)","Asian","100","100","26980","27570"
"New entrant CS","2021","20-29","South East (England)","Black","60","60","27080","27710"
"New entrant CS","2021","20-29","South East (England)","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","South East (England)","Mixed","60","50","25940","27570"
"New entrant CS","2021","20-29","South East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","South East (England)","Undeclared","50","40","[c]","[c]"
"New entrant CS","2021","20-29","South East (England)","Unknown","500","490","24350","24370"
"New entrant CS","2021","20-29","South East (England)","White","1130","1120","25460","25540"
"New entrant CS","2021","20-29","South West (England)","Asian","50","50","25980","26350"
"New entrant CS","2021","20-29","South West (England)","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","South West (England)","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","South West (England)","Mixed","50","50","25700","25250"
"New entrant CS","2021","20-29","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","South West (England)","Undeclared","30","30","[c]","[c]"
"New entrant CS","2021","20-29","South West (England)","Unknown","370","360","23990","22850"
"New entrant CS","2021","20-29","South West (England)","White","1240","1220","24790","23540"
"New entrant CS","2021","20-29","Unknown","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","Unknown","230","220","28070","28000"
"New entrant CS","2021","20-29","Unknown","White","90","90","27900","27570"
"New entrant CS","2021","20-29","Wales","Asian","40","40","[c]","[c]"
"New entrant CS","2021","20-29","Wales","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Wales","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Wales","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Wales","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Wales","Unknown","440","430","23120","21590"
"New entrant CS","2021","20-29","Wales","White","750","730","23690","21590"
"New entrant CS","2021","20-29","West Midlands (England)","Asian","190","190","24520","23270"
"New entrant CS","2021","20-29","West Midlands (England)","Black","50","50","[c]","[c]"
"New entrant CS","2021","20-29","West Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","West Midlands (England)","Mixed","40","40","[c]","[c]"
"New entrant CS","2021","20-29","West Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","West Midlands (England)","Unknown","420","410","22790","20880"
"New entrant CS","2021","20-29","West Midlands (England)","White","600","590","24510","22920"
"New entrant CS","2021","20-29","Yorkshire and The Humber","Asian","190","190","25120","27570"
"New entrant CS","2021","20-29","Yorkshire and The Humber","Black","30","30","[c]","[c]"
"New entrant CS","2021","20-29","Yorkshire and The Humber","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Yorkshire and The Humber","Mixed","60","60","24770","24460"
"New entrant CS","2021","20-29","Yorkshire and The Humber","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Yorkshire and The Humber","Unknown","700","700","23940","21590"
"New entrant CS","2021","20-29","Yorkshire and The Humber","White","910","910","24940","23440"
"New entrant CS","2021","30-39","East Midlands (England)","Asian","60","60","27360","27570"
"New entrant CS","2021","30-39","East Midlands (England)","Black","30","30","[c]","[c]"
"New entrant CS","2021","30-39","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","East Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","East Midlands (England)","Unknown","150","140","24790","22850"
"New entrant CS","2021","30-39","East Midlands (England)","White","320","310","27510","27570"
"New entrant CS","2021","30-39","East of England","Asian","60","60","29040","28280"
"New entrant CS","2021","30-39","East of England","Black","50","50","27600","28600"
"New entrant CS","2021","30-39","East of England","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","East of England","Mixed","30","30","[c]","[c]"
"New entrant CS","2021","30-39","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","East of England","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","East of England","Unknown","150","140","27000","25850"
"New entrant CS","2021","30-39","East of England","White","380","370","27260","27570"
"New entrant CS","2021","30-39","London","Asian","470","460","35530","31060"
"New entrant CS","2021","30-39","London","Black","390","380","32020","31060"
"New entrant CS","2021","30-39","London","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","London","Mixed","160","160","37680","31060"
"New entrant CS","2021","30-39","London","Other ethnicity","50","50","[c]","[c]"
"New entrant CS","2021","30-39","London","Undeclared","90","90","38720","32970"
"New entrant CS","2021","30-39","London","Unknown","960","950","40860","35050"
"New entrant CS","2021","30-39","London","White","1340","1310","41230","37230"
"New entrant CS","2021","30-39","North East (England)","Asian","30","30","[c]","[c]"
"New entrant CS","2021","30-39","North East (England)","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","North East (England)","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","North East (England)","Unknown","250","240","24620","22350"
"New entrant CS","2021","30-39","North East (England)","White","460","450","25940","22850"
"New entrant CS","2021","30-39","North West (England)","Asian","110","110","29380","27570"
"New entrant CS","2021","30-39","North West (England)","Black","50","40","[c]","[c]"
"New entrant CS","2021","30-39","North West (England)","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","North West (England)","Mixed","30","30","[c]","[c]"
"New entrant CS","2021","30-39","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","North West (England)","Unknown","410","400","27370","24880"
"New entrant CS","2021","30-39","North West (England)","White","820","810","27610","27570"
"New entrant CS","2021","30-39","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Northern Ireland","Unknown","50","50","[c]","[c]"
"New entrant CS","2021","30-39","Northern Ireland","White","60","60","26330","20220"
"New entrant CS","2021","30-39","Overseas","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Overseas","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Overseas","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Overseas","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Overseas","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Overseas","White","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Scotland","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Scotland","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Scotland","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Scotland","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Scotland","Unknown","460","440","28850","25430"
"New entrant CS","2021","30-39","Scotland","White","640","620","28660","27570"
"New entrant CS","2021","30-39","South East (England)","Asian","70","60","30260","27960"
"New entrant CS","2021","30-39","South East (England)","Black","60","50","28970","27850"
"New entrant CS","2021","30-39","South East (England)","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","South East (England)","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","South East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","South East (England)","Unknown","280","270","28230","26800"
"New entrant CS","2021","30-39","South East (England)","White","810","790","28910","27570"
"New entrant CS","2021","30-39","South West (England)","Asian","50","50","33650","29000"
"New entrant CS","2021","30-39","South West (England)","Black","30","30","[c]","[c]"
"New entrant CS","2021","30-39","South West (England)","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","South West (England)","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","South West (England)","Unknown","240","220","31010","27570"
"New entrant CS","2021","30-39","South West (England)","White","810","770","29800","27570"
"New entrant CS","2021","30-39","Unknown","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Unknown","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Unknown","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Unknown","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Unknown","Unknown","100","100","[c]","[c]"
"New entrant CS","2021","30-39","Unknown","White","60","60","31200","27570"
"New entrant CS","2021","30-39","Wales","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Wales","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Wales","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Wales","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Wales","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Wales","Unknown","260","250","27130","23320"
"New entrant CS","2021","30-39","Wales","White","450","430","27580","25030"
"New entrant CS","2021","30-39","West Midlands (England)","Asian","130","130","27090","27570"
"New entrant CS","2021","30-39","West Midlands (England)","Black","50","50","26680","27570"
"New entrant CS","2021","30-39","West Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","West Midlands (England)","Mixed","40","30","[c]","[c]"
"New entrant CS","2021","30-39","West Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","West Midlands (England)","Unknown","210","200","28770","25560"
"New entrant CS","2021","30-39","West Midlands (England)","White","410","400","28800","27570"
"New entrant CS","2021","30-39","Yorkshire and The Humber","Asian","80","80","26560","27570"
"New entrant CS","2021","30-39","Yorkshire and The Humber","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Yorkshire and The Humber","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Yorkshire and The Humber","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Yorkshire and The Humber","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Yorkshire and The Humber","Unknown","320","310","29030","25560"
"New entrant CS","2021","30-39","Yorkshire and The Humber","White","550","530","29230","27570"
"New entrant CS","2021","40-49","East Midlands (England)","Asian","40","40","[c]","[c]"
"New entrant CS","2021","40-49","East Midlands (England)","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","East Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","East Midlands (England)","Unknown","110","100","29550","27130"
"New entrant CS","2021","40-49","East Midlands (England)","White","250","240","29420","27570"
"New entrant CS","2021","40-49","East of England","Asian","40","40","[c]","[c]"
"New entrant CS","2021","40-49","East of England","Black","40","40","[c]","[c]"
"New entrant CS","2021","40-49","East of England","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","East of England","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","East of England","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","East of England","Unknown","100","90","25480","22850"
"New entrant CS","2021","40-49","East of England","White","360","350","28230","27570"
"New entrant CS","2021","40-49","London","Asian","250","250","40250","31060"
"New entrant CS","2021","40-49","London","Black","270","260","34320","31060"
"New entrant CS","2021","40-49","London","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","London","Mixed","60","60","37440","31060"
"New entrant CS","2021","40-49","London","Other ethnicity","30","30","[c]","[c]"
"New entrant CS","2021","40-49","London","Undeclared","60","60","40240","32330"
"New entrant CS","2021","40-49","London","Unknown","570","550","47770","40000"
"New entrant CS","2021","40-49","London","White","740","700","44100","39030"
"New entrant CS","2021","40-49","North East (England)","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","North East (England)","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","North East (England)","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","North East (England)","Unknown","160","150","25320","22350"
"New entrant CS","2021","40-49","North East (England)","White","330","320","26870","22850"
"New entrant CS","2021","40-49","North West (England)","Asian","50","50","29590","27570"
"New entrant CS","2021","40-49","North West (England)","Black","40","40","[c]","[c]"
"New entrant CS","2021","40-49","North West (England)","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","North West (England)","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","North West (England)","Unknown","280","260","29100","24880"
"New entrant CS","2021","40-49","North West (England)","White","620","610","30570","27570"
"New entrant CS","2021","40-49","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Northern Ireland","Unknown","30","30","[c]","[c]"
"New entrant CS","2021","40-49","Northern Ireland","White","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Overseas","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Overseas","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Overseas","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Overseas","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Overseas","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Overseas","White","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Scotland","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Scotland","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Scotland","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Scotland","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Scotland","Unknown","310","290","31670","26160"
"New entrant CS","2021","40-49","Scotland","White","490","480","29630","27570"
"New entrant CS","2021","40-49","South East (England)","Asian","60","50","31150","29290"
"New entrant CS","2021","40-49","South East (England)","Black","50","50","[c]","[c]"
"New entrant CS","2021","40-49","South East (England)","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","South East (England)","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","South East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","South East (England)","Unknown","200","190","30800","27570"
"New entrant CS","2021","40-49","South East (England)","White","650","630","30290","27570"
"New entrant CS","2021","40-49","South West (England)","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","South West (England)","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","South West (England)","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","South West (England)","Mixed","30","30","[c]","[c]"
"New entrant CS","2021","40-49","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","South West (England)","Unknown","150","140","35220","27570"
"New entrant CS","2021","40-49","South West (England)","White","680","650","32770","27570"
"New entrant CS","2021","40-49","Unknown","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Unknown","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Unknown","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Unknown","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Unknown","Unknown","80","80","[c]","[c]"
"New entrant CS","2021","40-49","Unknown","White","50","50","33300","27570"
"New entrant CS","2021","40-49","Wales","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Wales","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Wales","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Wales","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Wales","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Wales","Unknown","120","120","28000","23190"
"New entrant CS","2021","40-49","Wales","White","270","260","30170","27570"
"New entrant CS","2021","40-49","West Midlands (England)","Asian","90","80","28090","27570"
"New entrant CS","2021","40-49","West Midlands (England)","Black","30","30","[c]","[c]"
"New entrant CS","2021","40-49","West Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","West Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","West Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","West Midlands (England)","Unknown","150","140","31800","25560"
"New entrant CS","2021","40-49","West Midlands (England)","White","350","330","32070","27570"
"New entrant CS","2021","40-49","Yorkshire and The Humber","Asian","50","50","31460","27570"
"New entrant CS","2021","40-49","Yorkshire and The Humber","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Yorkshire and The Humber","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Yorkshire and The Humber","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Yorkshire and The Humber","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Yorkshire and The Humber","Unknown","220","220","33240","27570"
"New entrant CS","2021","40-49","Yorkshire and The Humber","White","430","410","31660","27570"
"New entrant CS","2021","50-59","East Midlands (England)","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","East Midlands (England)","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","East Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","East Midlands (England)","Unknown","90","80","25270","24880"
"New entrant CS","2021","50-59","East Midlands (England)","White","280","280","28060","27570"
"New entrant CS","2021","50-59","East of England","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","East of England","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","East of England","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","East of England","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","East of England","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","East of England","Unknown","110","100","27240","24620"
"New entrant CS","2021","50-59","East of England","White","370","350","28580","27570"
"New entrant CS","2021","50-59","London","Asian","100","90","39230","31060"
"New entrant CS","2021","50-59","London","Black","210","200","32710","31060"
"New entrant CS","2021","50-59","London","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","London","Mixed","40","40","[c]","[c]"
"New entrant CS","2021","50-59","London","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","London","Undeclared","40","40","[c]","[c]"
"New entrant CS","2021","50-59","London","Unknown","380","370","47430","40000"
"New entrant CS","2021","50-59","London","White","580","550","43390","36330"
"New entrant CS","2021","50-59","North East (England)","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","North East (England)","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","North East (England)","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","North East (England)","Unknown","130","120","24040","21010"
"New entrant CS","2021","50-59","North East (England)","White","270","260","25150","21010"
"New entrant CS","2021","50-59","North West (England)","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","North West (England)","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","North West (England)","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","North West (England)","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","North West (England)","Unknown","220","210","28450","22350"
"New entrant CS","2021","50-59","North West (England)","White","550","530","28030","25840"
"New entrant CS","2021","50-59","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Northern Ireland","White","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Overseas","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Overseas","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Overseas","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Overseas","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Overseas","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Overseas","White","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Scotland","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Scotland","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Scotland","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Scotland","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Scotland","Unknown","220","210","33720","26160"
"New entrant CS","2021","50-59","Scotland","White","450","440","27840","26160"
