"Status","Year","Parent_department","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department of Health and Social Care","Public Health England","North West (England)","550","510","37390","31370"
"In post","2021","Department of Health and Social Care","Public Health England","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Public Health England","South East (England)","510","460","46070","40210"
"In post","2021","Department of Health and Social Care","Public Health England","South West (England)","1220","1120","38670","34530"
"In post","2021","Department of Health and Social Care","Public Health England","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Public Health England","West Midlands (England)","470","420","42070","34700"
"In post","2021","Department of Health and Social Care","Public Health England","Yorkshire and The Humber","420","380","42560","36690"
"In post","2021","ESTYN","ESTYN","Wales","110","100","58000","74730"
"In post","2021","Food Standards Agency","Food Standards Agency","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Food Standards Agency","Food Standards Agency","East of England","60","60","27660","26750"
"In post","2021","Food Standards Agency","Food Standards Agency","London","470","460","42510","40350"
"In post","2021","Food Standards Agency","Food Standards Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Food Standards Agency","North West (England)","50","40","[c]","[c]"
"In post","2021","Food Standards Agency","Food Standards Agency","Northern Ireland","80","80","38880","37910"
"In post","2021","Food Standards Agency","Food Standards Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Food Standards Agency","South West (England)","50","50","[c]","[c]"
"In post","2021","Food Standards Agency","Food Standards Agency","Wales","140","130","36990","30840"
"In post","2021","Food Standards Agency","Food Standards Agency","West Midlands (England)","120","110","34690","30350"
"In post","2021","Food Standards Agency","Food Standards Agency","Yorkshire and The Humber","300","290","36770","31450"
"In post","2021","Foreign, Commonwealth and Development Office","FCDO Services","London","170","160","47700","44410"
"In post","2021","Foreign, Commonwealth and Development Office","FCDO Services","Overseas","130","130","40180","39870"
"In post","2021","Foreign, Commonwealth and Development Office","FCDO Services","South East (England)","770","740","38770","34760"
"In post","2021","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","London","4090","3990","49420","44880"
"In post","2021","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","2140","2140","52770","54080"
"In post","2021","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","Scotland","970","930","40570","34530"
"In post","2021","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","South East (England)","280","270","31540","27060"
"In post","2021","Foreign, Commonwealth and Development Office","Wilton Park","South East (England)","90","80","34080","29410"
"In post","2021","HM Land Registry","HM Land Registry","East Midlands (England)","870","790","30980","27130"
"In post","2021","HM Land Registry","HM Land Registry","East of England","280","260","31050","27130"
"In post","2021","HM Land Registry","HM Land Registry","London","380","360","41430","37290"
"In post","2021","HM Land Registry","HM Land Registry","North East (England)","710","650","28370","27130"
"In post","2021","HM Land Registry","HM Land Registry","North West (England)","900","810","29390","27130"
"In post","2021","HM Land Registry","HM Land Registry","South West (England)","1550","1400","32770","31740"
"In post","2021","HM Land Registry","HM Land Registry","Wales","720","650","29080","27130"
"In post","2021","HM Land Registry","HM Land Registry","West Midlands (England)","600","550","29710","27130"
"In post","2021","HM Land Registry","HM Land Registry","Yorkshire and The Humber","340","300","29120","27130"
"In post","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","East Midlands (England)","3790","3540","31950","31810"
"In post","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","East of England","1680","1530","31990","31810"
"In post","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","London","8060","7660","43380","36240"
"In post","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","North East (England)","10830","9600","27590","25560"
"In post","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","North West (England)","12550","11580","30050","25560"
"In post","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","Northern Ireland","2000","1850","28510","25560"
"In post","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","Scotland","7730","6960","26980","25560"
"In post","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","South East (England)","2340","2110","29780","28130"
"In post","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","South West (England)","1300","1220","35160","31810"
"In post","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","Wales","4150","3840","27810","25560"
"In post","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","West Midlands (England)","3860","3610","32850","31810"
"In post","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","4670","4320","29870","25560"
"In post","2021","HM Revenue and Customs","Valuation Office Agency","East Midlands (England)","160","140","33770","31100"
"In post","2021","HM Revenue and Customs","Valuation Office Agency","East of England","160","150","33560","31100"
"In post","2021","HM Revenue and Customs","Valuation Office Agency","London","670","630","40560","36400"
"In post","2021","HM Revenue and Customs","Valuation Office Agency","North East (England)","450","420","28510","24500"
"In post","2021","HM Revenue and Customs","Valuation Office Agency","North West (England)","340","310","35110","31100"
"In post","2021","HM Revenue and Customs","Valuation Office Agency","Scotland","40","40","[c]","[c]"
"In post","2021","HM Revenue and Customs","Valuation Office Agency","South East (England)","210","190","35140","32110"
"In post","2021","HM Revenue and Customs","Valuation Office Agency","South West (England)","540","500","28840","24500"
"In post","2021","HM Revenue and Customs","Valuation Office Agency","Wales","270","250","35380","32110"
"In post","2021","HM Revenue and Customs","Valuation Office Agency","West Midlands (England)","240","220","33550","31100"
"In post","2021","HM Revenue and Customs","Valuation Office Agency","Yorkshire and The Humber","460","420","31180","26500"
"In post","2021","HM Treasury","Debt Management Office","London","110","110","58680","51550"
"In post","2021","HM Treasury","Government Internal Audit Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Government Internal Audit Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Government Internal Audit Agency","London","180","170","52670","51290"
"In post","2021","HM Treasury","Government Internal Audit Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Government Internal Audit Agency","North West (England)","50","50","45840","42810"
