"Status","Year","Profession_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Economics","Office for Budget Responsibility","HM Treasury","30","30","[c]","[c]"
"In post","2021","Economics","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","60","50","47370","47000"
"In post","2021","Economics","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Economics","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Economics","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Economics","United Kingdom Statistics Authority","United Kingdom Statistics Authority","150","150","37150","32540"
"In post","2021","Economics","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Welsh Government (excl. agencies)","Welsh Government","50","50","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Companies House","Department for Business, Energy and Industrial Strategy","60","50","30930","27460"
"In post","2021","Finance","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Prosecution Service","Attorney General's Departments","90","90","32650","30130"
"In post","2021","Finance","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Defence Equipment and Support","Ministry of Defence","460","440","38920","32860"
"In post","2021","Finance","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","170","170","52940","54880"
"In post","2021","Finance","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","70","70","56710","58490"
"In post","2021","Finance","Department for Education (excl. agencies)","Department for Education","470","450","43130","40940"
"In post","2021","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","400","390","43210","38060"
"In post","2021","Finance","Department for International Trade","Department for International Trade","90","90","49850","51970"
"In post","2021","Finance","Department for Transport (excl. agencies)","Department for Transport","200","200","48680","49010"
"In post","2021","Finance","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","340","330","39300","36070"
"In post","2021","Finance","Driver and Vehicle Licensing Agency","Department for Transport","140","130","32910","30730"
"In post","2021","Finance","Driver and Vehicle Standards Agency","Department for Transport","90","80","38780","34040"
"In post","2021","Finance","Education and Skills Funding Agency","Department for Education","320","310","41700","37100"
"In post","2021","Finance","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Finance","FCDO Services","Foreign, Commonwealth and Development Office","60","50","37800","29760"
"In post","2021","Finance","Food Standards Agency","Food Standards Agency","50","50","41000","37910"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","190","190","43240","38600"
"In post","2021","Finance","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Legal Department","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","Finance","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Courts and Tribunals Service","Ministry of Justice","200","190","39520","36420"
"In post","2021","Finance","HM Land Registry","HM Land Registry","70","70","48120","46060"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","1510","1330","33630","29570"
"In post","2021","Finance","HM Treasury (excl. agencies)","HM Treasury","90","90","47810","52500"
"In post","2021","Finance","Home Office (incl. agencies)","Home Office","280","270","45650","41970"
"In post","2021","Finance","Insolvency Service","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Finance","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","Ministry of Justice","60","60","31350","28350"
"In post","2021","Finance","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","Ministry of Defence","1600","1540","38050","33300"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","110","100","52450","53130"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","Ministry of Justice","530","520","44670","41500"
"In post","2021","Finance","National Crime Agency","National Crime Agency","50","40","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","Chancellor's other departments","30","30","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","40","30","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Finance","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of the Public Guardian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Public Health England","Department of Health and Social Care","140","140","42330","38200"
"In post","2021","Finance","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Prison Service","Scottish Government","70","70","31400","25870"
"In post","2021","Finance","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Submarine Delivery Agency","Ministry of Defence","120","120","41000","39980"
"In post","2021","Finance","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","United Kingdom Statistics Authority","60","60","37140","29840"
"In post","2021","Finance","Valuation Office Agency","HM Revenue and Customs","50","40","[c]","[c]"
"In post","2021","Finance","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Welsh Government (excl. agencies)","Welsh Government","330","310","41910","37410"
"In post","2021","Finance","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
