"Status","Year","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","35360","31660","32250","27610"
"In post","2022","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","32150","31050","34480","33080"
"In post","2022","HM Treasury (excl. agencies)","HM Treasury","Female","1050","1010","45940","41670"
"In post","2022","HM Treasury (excl. agencies)","HM Treasury","Male","1060","1050","48990","52500"
"In post","2022","Home Office","Home Office","Female","18870","17210","32070","28350"
"In post","2022","Home Office","Home Office","Male","17660","17020","33290","28650"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Female","180","170","47570","49960"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Male","100","100","50750","50260"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Female","820","750","34310","28750"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Male","900","870","42080","41420"
"In post","2022","Legal Aid Agency","Ministry of Justice","Female","700","640","28810","25120"
"In post","2022","Legal Aid Agency","Ministry of Justice","Male","460","450","31840","25120"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Female","470","440","33300","30730"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Male","760","760","39940","36040"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","680","650","48760","41240"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","450","450","49850","44460"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Female","820","760","38010","37420"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Male","1350","1300","40640","39650"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","16480","15590","31930","26670"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","20890","20520","33700","32670"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","3510","3390","41690","38370"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","2650","2610","45070","41750"
"In post","2022","National Crime Agency","National Crime Agency","Female","2490","2380","38260","36520"
"In post","2022","National Crime Agency","National Crime Agency","Male","3050","3020","42670","40170"
"In post","2022","National Infrastructure Commission","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2022","National Infrastructure Commission","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2022","National Records of Scotland","Scottish Government","Female","250","230","36570","34600"
"In post","2022","National Records of Scotland","Scottish Government","Male","210","200","35630","31540"
"In post","2022","National Savings and Investments","Chancellor's other departments","Female","100","90","47380","44000"
"In post","2022","National Savings and Investments","Chancellor's other departments","Male","100","100","54210","49010"
"In post","2022","National Savings and Investments","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Northern Ireland Office","Female","100","100","45360","41750"
"In post","2022","Northern Ireland Office","Northern Ireland Office","Male","80","80","47750","41750"
"In post","2022","Office for Budget Responsibility","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2022","Office for Budget Responsibility","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Female","1230","1170","49600","51360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Male","600","590","51760","51360"
"In post","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Female","620","600","42170","36500"
"In post","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Male","730","720","44610","38030"
"In post","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Female","180","170","42880","38630"
"In post","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Male","110","110","47450","46660"
"In post","2022","Office of Rail and Road","Office of Rail and Road","Female","150","140","50430","50810"
"In post","2022","Office of Rail and Road","Office of Rail and Road","Male","200","190","56820","55430"
"In post","2022","Office of the Public Guardian","Ministry of Justice","Female","800","720","23910","20970"
"In post","2022","Office of the Public Guardian","Ministry of Justice","Male","640","600","24120","20970"
"In post","2022","Office of the Scottish Charity Regulator","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Scottish Charity Regulator","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Female","70","70","47490","43000"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Male","40","40","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Female","370","330","40140","34860"
"In post","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Male","440","410","45530","47660"
"In post","2022","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Female","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Male","30","30","[c]","[c]"
"In post","2022","Registers of Scotland","Scottish Government","Female","600","560","33760","30840"
"In post","2022","Registers of Scotland","Scottish Government","Male","590","570","34080","30840"
"In post","2022","Revenue Scotland","Scottish Government","Female","40","40","[c]","[c]"
"In post","2022","Revenue Scotland","Scottish Government","Male","30","30","[c]","[c]"
"In post","2022","Royal Fleet Auxiliary","Ministry of Defence","Female","170","170","32470","32400"
"In post","2022","Royal Fleet Auxiliary","Ministry of Defence","Male","1590","1590","37990","34460"
"In post","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Female","1470","1300","25750","21300"
"In post","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Male","1090","1060","26650","24920"
"In post","2022","Scottish Courts and Tribunals Service","Scottish Government","Female","1310","1180","28300","23780"
"In post","2022","Scottish Courts and Tribunals Service","Scottish Government","Male","610","580","29210","23780"
"In post","2022","Scottish Fiscal Commission","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Fiscal Commission","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","Scottish Government","Female","100","90","31910","30540"
"In post","2022","Scottish Forestry","Scottish Government","Male","90","90","40660","39050"
"In post","2022","Scottish Government (excl. agencies)","Scottish Government","Female","4960","4670","43610","39660"
"In post","2022","Scottish Government (excl. agencies)","Scottish Government","Male","3890","3820","44740","40130"
"In post","2022","Scottish Housing Regulator","Scottish Government","Female","30","30","[c]","[c]"
"In post","2022","Scottish Housing Regulator","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","Scottish Government","Female","1620","1530","31130","29550"
